Date;JourDeLaSemaine;Heure;ZoneAnalyse;Presence30Min;Continent;Pays;CategorieVisiteurs;TypeDeJour;Volume
2017-05-11;Jeudi;19:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;56
2017-05-11;Jeudi;20:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;120
2017-05-11;Jeudi;21:00:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;43
2017-05-11;Jeudi;21:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;27
2017-05-11;Jeudi;22:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;56
2017-05-11;Jeudi;22:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;23
2017-05-11;Jeudi;22:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;56
2017-05-11;Jeudi;23:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;23
2017-05-11;Jeudi;23:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;37
2017-05-12;Vendredi;05:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;23
2017-05-12;Vendredi;05:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;23
2017-05-12;Vendredi;11:00:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;35
2017-05-12;Vendredi;12:00:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;43
2017-05-12;Vendredi;12:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;56
2017-05-12;Vendredi;12:30:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;46
2017-05-12;Vendredi;12:30:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;43
2017-05-12;Vendredi;14:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;47
2017-05-12;Vendredi;15:30:00;Zone FIMU;Present;Autre;Reste Du Monde;Touriste Etranger;Periode normale;50
2017-05-12;Vendredi;17:00:00;Zone FIMU;Present;Amérique;Reste Du Monde;Touriste Etranger;Periode normale;123
2017-05-12;Vendredi;17:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;46
2017-05-12;Vendredi;18:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;55
2017-05-12;Vendredi;18:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;33
2017-05-12;Vendredi;19:00:00;Zone FIMU;Present;Europe;Espagne;Touriste Etranger;Periode normale;45
2017-05-12;Vendredi;20:30:00;Zone FIMU;Present;Amérique;Reste Du Monde;Touriste Etranger;Periode normale;59
2017-05-12;Vendredi;20:30:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;31
2017-05-12;Vendredi;21:30:00;Zone FIMU;Present;Amérique;Reste Du Monde;Touriste Etranger;Periode normale;123
2017-05-12;Vendredi;22:00:00;Zone FIMU;Present;Amérique;Reste Du Monde;Touriste Etranger;Periode normale;123
2017-05-12;Vendredi;22:00:00;Zone FIMU;Present;Europe;Italie;Touriste Etranger;Periode normale;94
2017-05-12;Vendredi;22:00:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;31
2017-05-12;Vendredi;23:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;55
2017-05-13;Samedi;00:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;55
2017-05-14;Dimanche;03:00:00;Zone FIMU;Present;Asie;Chine;Touriste Etranger;Periode normale;100
2017-05-14;Dimanche;05:30:00;Zone FIMU;Present;Asie;Chine;Touriste Etranger;Periode normale;100
2017-05-14;Dimanche;06:30:00;Zone FIMU;Present;Asie;Chine;Touriste Etranger;Periode normale;100
2017-05-14;Dimanche;09:00:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;42
2017-05-14;Dimanche;09:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;102
2017-05-14;Dimanche;10:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;32
2017-05-14;Dimanche;11:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;139
2017-05-14;Dimanche;12:30:00;Zone FIMU;Present;Asie;Chine;Touriste Etranger;Periode normale;100
2017-05-14;Dimanche;13:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;27
2017-05-14;Dimanche;13:30:00;Zone FIMU;Present;Asie;Chine;Touriste Etranger;Periode normale;100
2017-05-14;Dimanche;13:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;27
2017-05-14;Dimanche;16:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;30
2017-05-14;Dimanche;17:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;50
2017-05-14;Dimanche;19:00:00;Zone FIMU;Present;Europe;Royaume-Uni;Touriste Etranger;Periode normale;59
2017-05-14;Dimanche;19:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;27
2017-05-14;Dimanche;19:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;36
2017-05-14;Dimanche;19:30:00;Zone FIMU;Present;Europe;Royaume-Uni;Touriste Etranger;Periode normale;59
2017-05-14;Dimanche;19:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;36
2017-05-14;Dimanche;20:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;27
2017-05-14;Dimanche;20:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;69
2017-05-14;Dimanche;20:00:00;Zone FIMU;Present;Europe;Royaume-Uni;Touriste Etranger;Periode normale;59
2017-05-14;Dimanche;20:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;55
2017-05-14;Dimanche;20:30:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;72
2017-05-14;Dimanche;21:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;36
2017-05-14;Dimanche;21:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;46
2017-05-14;Dimanche;22:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;33
2017-05-14;Dimanche;23:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;27
2017-05-15;Lundi;00:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;27
2017-05-15;Lundi;07:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;27
2017-05-15;Lundi;07:30:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;31
2017-05-15;Lundi;08:00:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;39
2017-05-15;Lundi;08:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;27
2017-05-15;Lundi;08:30:00;Zone FIMU;Present;Europe;Pays De L'Est;Touriste Etranger;Periode normale;31
2017-05-15;Lundi;09:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;27
2017-05-15;Lundi;09:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;46
2017-05-15;Lundi;10:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;27
2017-05-15;Lundi;11:00:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;89
2017-05-15;Lundi;11:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;27
2017-05-15;Lundi;11:00:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;36
2017-05-15;Lundi;11:30:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;27
2017-05-15;Lundi;12:00:00;Zone FIMU;Present;Europe;Allemagne;Touriste Etranger;Periode normale;27
2017-05-15;Lundi;12:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;46
2017-05-15;Lundi;13:30:00;Zone FIMU;Present;Afrique;Reste Du Monde;Touriste Etranger;Periode normale;23
2017-05-15;Lundi;13:30:00;Zone FIMU;Present;Asie;Asie Océanie;Touriste Etranger;Periode normale;92
2017-05-15;Lundi;14:00:00;Zone FIMU;Present;Europe;Autre pays d'Europe;Touriste Etranger;Periode normale;30
2017-05-15;Lundi;14:30:00;Zone FIMU;Present;Europe;Suisse;Touriste Etranger;Periode normale;45
