Date;JourDeLaSemaine;TypeNuitee;ZoneNuitee;ZoneAnalyse;CategorieVisiteurs;TypeDeJour;Volume
2017-05-12;Vendredi;Veille;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;170
2017-05-12;Vendredi;Veille;Ville de Belfort;Zone FIMU;Resident;Periode normale;8232
2017-05-12;Vendredi;Veille;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;97
2017-05-12;Vendredi;Veille;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;2688
2017-05-12;Vendredi;Veille;Vosges;Zone FIMU;Resident;Periode normale;23
2017-05-12;Vendredi;Veille;Vosges;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-12;Vendredi;Veille;Vosges;Zone FIMU;Touriste Français;Periode normale;49
2017-05-14;Dimanche;Veille;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;1061
2017-05-14;Dimanche;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-14;Dimanche;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;347
2017-05-14;Dimanche;Veille;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;31
2017-05-14;Dimanche;Veille;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;38
2017-05-14;Dimanche;Veille;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;31
2017-05-14;Dimanche;Veille;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;305
2017-05-14;Dimanche;Veille;Haut Rhin Nord;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-14;Dimanche;Veille;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;63
2017-05-14;Dimanche;Veille;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;46
2017-05-14;Dimanche;Veille;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-14;Dimanche;Veille;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;121
2017-05-14;Dimanche;Veille;Reste Doubs;Zone FIMU;Resident;Periode normale;#
2017-05-14;Dimanche;Veille;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;180
2017-05-14;Dimanche;Veille;Reste Haute Saone;Zone FIMU;Resident;Periode normale;63
2017-05-14;Dimanche;Veille;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;181
2017-05-14;Dimanche;Veille;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;399
2017-05-14;Dimanche;Veille;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;117
2017-05-14;Dimanche;Veille;Ville de Belfort;Zone FIMU;Resident;Periode normale;6756
2017-05-14;Dimanche;Veille;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;120
2017-05-14;Dimanche;Veille;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;2467
2017-05-14;Dimanche;Veille;Vosges;Zone FIMU;Touriste Français;Periode normale;43
2017-05-15;Lundi;Veille;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;1701
2017-05-15;Lundi;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-15;Lundi;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;414
2017-05-15;Lundi;Veille;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;39
2017-05-15;Lundi;Veille;Agglomeration de Hericourt;Zone FIMU;Touriste Etranger;Periode normale;23
2017-05-15;Lundi;Veille;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;177
2017-05-15;Lundi;Veille;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;83
2017-05-15;Lundi;Veille;Agglomeration de Montbeliard;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-15;Lundi;Veille;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;682
2017-05-15;Lundi;Veille;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;21
2017-05-15;Lundi;Veille;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;46
2017-05-15;Lundi;Veille;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-15;Lundi;Veille;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;212
2017-05-15;Lundi;Veille;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;310
2017-05-15;Lundi;Veille;Reste Haute Saone;Zone FIMU;Resident;Periode normale;171
2017-05-15;Lundi;Veille;Reste Haute Saone;Zone FIMU;Touriste Etranger;Periode normale;58
2017-05-15;Lundi;Veille;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;343
2017-05-15;Lundi;Veille;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;1231
2017-05-15;Lundi;Veille;Reste Territoire de Belfort;Zone FIMU;Touriste Etranger;Periode normale;70
2017-05-15;Lundi;Veille;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;113
2017-05-15;Lundi;Veille;Ville de Belfort;Zone FIMU;Resident;Periode normale;8411
2017-05-15;Lundi;Veille;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;99
2017-05-15;Lundi;Veille;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;2769
2017-05-15;Lundi;Veille;Vosges;Zone FIMU;Resident;Periode normale;42
2017-05-15;Lundi;Veille;Vosges;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-15;Lundi;Veille;Vosges;Zone FIMU;Touriste Français;Periode normale;#
2017-05-16;Mardi;Veille;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;2560
2017-05-16;Mardi;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-16;Mardi;Veille;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;369
2017-05-16;Mardi;Veille;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;34
2017-05-16;Mardi;Veille;Agglomeration de Hericourt;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-16;Mardi;Veille;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;315
2017-05-16;Mardi;Veille;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;67
2017-05-16;Mardi;Veille;Agglomeration de Montbeliard;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-16;Mardi;Veille;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;764
2017-05-16;Mardi;Veille;Haut Rhin Nord;Zone FIMU;Touriste Français;Periode normale;51
2017-05-16;Mardi;Veille;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;87
2017-05-16;Mardi;Veille;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;37
2017-05-16;Mardi;Veille;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;244
2017-05-16;Mardi;Veille;Reste Doubs;Zone FIMU;Resident;Periode normale;#
2017-05-16;Mardi;Veille;Reste Doubs;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-16;Mardi;Veille;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;455
2017-05-16;Mardi;Veille;Reste Haute Saone;Zone FIMU;Resident;Periode normale;124
2017-05-16;Mardi;Veille;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;543
2017-05-16;Mardi;Veille;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;1365
2017-05-16;Mardi;Veille;Reste Territoire de Belfort;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-16;Mardi;Veille;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;261
2017-05-16;Mardi;Veille;Ville de Belfort;Zone FIMU;Resident;Periode normale;8285
2017-05-16;Mardi;Veille;Ville de Belfort;Zone FIMU;Touriste Etranger;Periode normale;99
2017-05-16;Mardi;Veille;Ville de Belfort;Zone FIMU;Touriste Français;Periode normale;3201
2017-05-16;Mardi;Veille;Vosges;Zone FIMU;Touriste Français;Periode normale;35
2017-05-17;Mercredi;Veille;Agglomeration de Belfort;Zone FIMU;Resident;Periode normale;2217
