Date;JourDeLaSemaine;TypeNuitee;ZoneNuitee;ZoneAnalyse;CategorieVisiteurs;TypeDeJour;Volume
2017-05-15;Lundi;Soir;Agglomeration de Belfort;Zone FIMU;Touriste Français;Periode normale;453
2017-05-15;Lundi;Soir;Agglomeration de Hericourt;Zone FIMU;Resident;Periode normale;38
2017-05-15;Lundi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-15;Lundi;Soir;Agglomeration de Hericourt;Zone FIMU;Touriste Français;Periode normale;164
2017-05-15;Lundi;Soir;Agglomeration de Montbeliard;Zone FIMU;Resident;Periode normale;73
2017-05-15;Lundi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-15;Lundi;Soir;Agglomeration de Montbeliard;Zone FIMU;Touriste Français;Periode normale;706
2017-05-15;Lundi;Soir;Haut Rhin Nord;Zone FIMU;Resident;Periode normale;#
2017-05-15;Lundi;Soir;Haut Rhin Nord;Zone FIMU;Touriste Etranger;Periode normale;#
2017-05-15;Lundi;Soir;Haut Rhin Sud;Zone FIMU;Resident;Periode normale;43
2017-05-15;Lundi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Etranger;Periode normale;26
2017-05-15;Lundi;Soir;Haut Rhin Sud;Zone FIMU;Touriste Français;Periode normale;229
2017-05-15;Lundi;Soir;Reste Doubs;Zone FIMU;Touriste Français;Periode normale;363
2017-05-15;Lundi;Soir;Reste Haute Saone;Zone FIMU;Resident;Periode normale;171
2017-05-15;Lundi;Soir;Reste Haute Saone;Zone FIMU;Touriste Etranger;Periode normale;58
2017-05-15;Lundi;Soir;Reste Haute Saone;Zone FIMU;Touriste Français;Periode normale;319
2017-05-15;Lundi;Soir;Reste Territoire de Belfort;Zone FIMU;Resident;Periode normale;1140
2017-05-15;Lundi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Etranger;Periode normale;73
2017-05-15;Lundi;Soir;Reste Territoire de Belfort;Zone FIMU;Touriste Français;Periode normale;85
