Date;JourDeLaSemaine;ZoneAnalyse;CSP;Geolife;CategorieVisiteurs;VisiteurUniqueSur;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Resident;02 jours;Periode normale;3314
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Resident;03 jours;Periode normale;3314
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Resident;04 jours;Periode normale;3314
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Resident;05 jours;Periode normale;3314
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Resident;06 jours;Periode normale;3314
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Resident;07 jours;Periode normale;3314
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Resident;08 jours;Periode normale;3314
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Resident;09 jours;Periode normale;3314
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Resident;10 jours;Periode normale;3314
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Resident;11 jours;Periode normale;3314
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Resident;12 jours;Periode normale;3314
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Resident;13 jours;Periode normale;3314
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Resident;14 jours;Periode normale;3314
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Touriste Français;01 jours;Periode normale;88
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Touriste Français;02 jours;Periode normale;88
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Touriste Français;03 jours;Periode normale;88
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Touriste Français;04 jours;Periode normale;88
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Touriste Français;05 jours;Periode normale;88
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Touriste Français;06 jours;Periode normale;88
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Touriste Français;07 jours;Periode normale;88
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Touriste Français;08 jours;Periode normale;88
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Touriste Français;09 jours;Periode normale;88
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Touriste Français;10 jours;Periode normale;88
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Touriste Français;11 jours;Periode normale;88
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Touriste Français;12 jours;Periode normale;88
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Touriste Français;13 jours;Periode normale;88
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain dynamique;Touriste Français;14 jours;Periode normale;88
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain familial aise;Touriste Français;01 jours;Periode normale;227
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain familial aise;Touriste Français;02 jours;Periode normale;227
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain familial aise;Touriste Français;03 jours;Periode normale;227
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain familial aise;Touriste Français;04 jours;Periode normale;227
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain familial aise;Touriste Français;05 jours;Periode normale;227
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain familial aise;Touriste Français;06 jours;Periode normale;227
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain familial aise;Touriste Français;07 jours;Periode normale;227
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain familial aise;Touriste Français;08 jours;Periode normale;227
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain familial aise;Touriste Français;09 jours;Periode normale;227
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain familial aise;Touriste Français;10 jours;Periode normale;227
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain familial aise;Touriste Français;11 jours;Periode normale;227
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain familial aise;Touriste Français;12 jours;Periode normale;227
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain familial aise;Touriste Français;13 jours;Periode normale;227
2017-05-10;Mercredi;Zone FIMU;CSP+;urbain familial aise;Touriste Français;14 jours;Periode normale;227
2017-05-10;Mercredi;Zone FIMU;NR;NR;Resident;01 jours;Periode normale;206
2017-05-10;Mercredi;Zone FIMU;NR;NR;Resident;02 jours;Periode normale;206
2017-05-10;Mercredi;Zone FIMU;NR;NR;Resident;03 jours;Periode normale;206
2017-05-10;Mercredi;Zone FIMU;NR;NR;Resident;04 jours;Periode normale;206
2017-05-10;Mercredi;Zone FIMU;NR;NR;Resident;05 jours;Periode normale;206
2017-05-10;Mercredi;Zone FIMU;NR;NR;Resident;06 jours;Periode normale;206
2017-05-10;Mercredi;Zone FIMU;NR;NR;Resident;07 jours;Periode normale;206
2017-05-10;Mercredi;Zone FIMU;NR;NR;Resident;08 jours;Periode normale;206
2017-05-10;Mercredi;Zone FIMU;NR;NR;Resident;09 jours;Periode normale;206
2017-05-10;Mercredi;Zone FIMU;NR;NR;Resident;10 jours;Periode normale;206
2017-05-10;Mercredi;Zone FIMU;NR;NR;Resident;11 jours;Periode normale;206
2017-05-10;Mercredi;Zone FIMU;NR;NR;Resident;12 jours;Periode normale;206
2017-05-10;Mercredi;Zone FIMU;NR;NR;Resident;13 jours;Periode normale;206
2017-05-10;Mercredi;Zone FIMU;NR;NR;Resident;14 jours;Periode normale;206
2017-05-10;Mercredi;Zone FIMU;NR;NR;Touriste Français;01 jours;Periode normale;3707
2017-05-10;Mercredi;Zone FIMU;NR;NR;Touriste Français;02 jours;Periode normale;3707
2017-05-10;Mercredi;Zone FIMU;NR;NR;Touriste Français;03 jours;Periode normale;3707
2017-05-10;Mercredi;Zone FIMU;NR;NR;Touriste Français;04 jours;Periode normale;3707
2017-05-10;Mercredi;Zone FIMU;NR;NR;Touriste Français;05 jours;Periode normale;3707
2017-05-10;Mercredi;Zone FIMU;NR;NR;Touriste Français;06 jours;Periode normale;3707
2017-05-10;Mercredi;Zone FIMU;NR;NR;Touriste Français;07 jours;Periode normale;3707
2017-05-10;Mercredi;Zone FIMU;NR;NR;Touriste Français;08 jours;Periode normale;3707
2017-05-10;Mercredi;Zone FIMU;NR;NR;Touriste Français;09 jours;Periode normale;3707
2017-05-10;Mercredi;Zone FIMU;NR;NR;Touriste Français;10 jours;Periode normale;3707
2017-05-10;Mercredi;Zone FIMU;NR;NR;Touriste Français;11 jours;Periode normale;3707
2017-05-10;Mercredi;Zone FIMU;NR;NR;Touriste Français;12 jours;Periode normale;3707
2017-05-10;Mercredi;Zone FIMU;NR;NR;Touriste Français;13 jours;Periode normale;3707
2017-05-10;Mercredi;Zone FIMU;NR;NR;Touriste Français;14 jours;Periode normale;3707
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Resident;01 jours;Periode normale;1925
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Resident;02 jours;Periode normale;1925
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Resident;03 jours;Periode normale;1925
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Resident;04 jours;Periode normale;1925
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Resident;05 jours;Periode normale;1925
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Resident;06 jours;Periode normale;1925
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Resident;07 jours;Periode normale;1925
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Resident;08 jours;Periode normale;1925
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Resident;09 jours;Periode normale;1925
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Resident;10 jours;Periode normale;1925
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Resident;11 jours;Periode normale;1925
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Resident;12 jours;Periode normale;1925
2017-05-10;Mercredi;Zone FIMU;Populaire;populaire;Resident;13 jours;Periode normale;1925
