Date;JourDeLaSemaine;ZoneAnalyse;Continent;Pays;CategorieVisiteurs;VisiteurUniqueSur;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;Europe;Espagne;Touriste Etranger;03 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Espagne;Touriste Etranger;04 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Espagne;Touriste Etranger;05 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Espagne;Touriste Etranger;06 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Espagne;Touriste Etranger;07 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Espagne;Touriste Etranger;08 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Espagne;Touriste Etranger;09 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Espagne;Touriste Etranger;10 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Espagne;Touriste Etranger;11 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Espagne;Touriste Etranger;12 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Espagne;Touriste Etranger;13 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Espagne;Touriste Etranger;14 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Italie;Touriste Etranger;01 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Italie;Touriste Etranger;02 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Italie;Touriste Etranger;03 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Italie;Touriste Etranger;04 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Italie;Touriste Etranger;05 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Italie;Touriste Etranger;06 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Italie;Touriste Etranger;07 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Italie;Touriste Etranger;08 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Italie;Touriste Etranger;09 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Italie;Touriste Etranger;10 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Italie;Touriste Etranger;11 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Italie;Touriste Etranger;12 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Italie;Touriste Etranger;13 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Italie;Touriste Etranger;14 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;01 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;02 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;03 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;04 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;05 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;06 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;07 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;08 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;09 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;10 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;11 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;12 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;13 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays De L'Est;Touriste Etranger;14 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;01 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;02 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;03 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;04 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;05 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;06 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;07 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;08 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;09 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;10 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;11 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;12 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;13 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Pays-Bas;Touriste Etranger;14 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Royaume-Uni;Touriste Etranger;01 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Royaume-Uni;Touriste Etranger;02 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Royaume-Uni;Touriste Etranger;03 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Royaume-Uni;Touriste Etranger;04 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Royaume-Uni;Touriste Etranger;05 jours;Periode normale;#
