Date;JourDeLaSemaine;ZoneAnalyse;Continent;Pays;CategorieVisiteurs;VisiteurUniqueSur;TypeDeJour;Volume
2017-05-10;Mercredi;Zone FIMU;Europe;Royaume-Uni;Touriste Etranger;06 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Royaume-Uni;Touriste Etranger;07 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Royaume-Uni;Touriste Etranger;08 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Royaume-Uni;Touriste Etranger;09 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Royaume-Uni;Touriste Etranger;10 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Royaume-Uni;Touriste Etranger;11 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Royaume-Uni;Touriste Etranger;12 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Royaume-Uni;Touriste Etranger;13 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Royaume-Uni;Touriste Etranger;14 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Russie;Touriste Etranger;01 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Russie;Touriste Etranger;02 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Russie;Touriste Etranger;03 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Russie;Touriste Etranger;04 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Russie;Touriste Etranger;05 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Russie;Touriste Etranger;06 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Russie;Touriste Etranger;07 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Russie;Touriste Etranger;08 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Russie;Touriste Etranger;09 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Russie;Touriste Etranger;10 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Russie;Touriste Etranger;11 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Russie;Touriste Etranger;12 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Russie;Touriste Etranger;13 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Russie;Touriste Etranger;14 jours;Periode normale;#
2017-05-10;Mercredi;Zone FIMU;Europe;Suisse;Touriste Etranger;01 jours;Periode normale;27
2017-05-10;Mercredi;Zone FIMU;Europe;Suisse;Touriste Etranger;02 jours;Periode normale;27
2017-05-10;Mercredi;Zone FIMU;Europe;Suisse;Touriste Etranger;03 jours;Periode normale;27
2017-05-10;Mercredi;Zone FIMU;Europe;Suisse;Touriste Etranger;04 jours;Periode normale;27
2017-05-10;Mercredi;Zone FIMU;Europe;Suisse;Touriste Etranger;05 jours;Periode normale;27
2017-05-10;Mercredi;Zone FIMU;Europe;Suisse;Touriste Etranger;06 jours;Periode normale;27
2017-05-10;Mercredi;Zone FIMU;Europe;Suisse;Touriste Etranger;07 jours;Periode normale;27
2017-05-10;Mercredi;Zone FIMU;Europe;Suisse;Touriste Etranger;08 jours;Periode normale;27
2017-05-10;Mercredi;Zone FIMU;Europe;Suisse;Touriste Etranger;09 jours;Periode normale;27
2017-05-10;Mercredi;Zone FIMU;Europe;Suisse;Touriste Etranger;10 jours;Periode normale;27
2017-05-10;Mercredi;Zone FIMU;Europe;Suisse;Touriste Etranger;11 jours;Periode normale;27
2017-05-10;Mercredi;Zone FIMU;Europe;Suisse;Touriste Etranger;12 jours;Periode normale;27
2017-05-10;Mercredi;Zone FIMU;Europe;Suisse;Touriste Etranger;13 jours;Periode normale;27
2017-05-10;Mercredi;Zone FIMU;Europe;Suisse;Touriste Etranger;14 jours;Periode normale;27
2017-05-11;Jeudi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;01 jours;Periode normale;43
2017-05-11;Jeudi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;02 jours;Periode normale;46
2017-05-11;Jeudi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;03 jours;Periode normale;46
2017-05-11;Jeudi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;04 jours;Periode normale;46
2017-05-11;Jeudi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;05 jours;Periode normale;46
2017-05-11;Jeudi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;06 jours;Periode normale;46
2017-05-11;Jeudi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;07 jours;Periode normale;46
2017-05-11;Jeudi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;08 jours;Periode normale;46
2017-05-11;Jeudi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;09 jours;Periode normale;46
2017-05-11;Jeudi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;10 jours;Periode normale;46
2017-05-11;Jeudi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;11 jours;Periode normale;46
2017-05-11;Jeudi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;12 jours;Periode normale;46
2017-05-11;Jeudi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;13 jours;Periode normale;46
