Date;JourDeLaSemaine;ZoneAnalyse;CSP;Geolife;CategorieVisiteurs;TypeDeVisite;TypeDeJour;Volume
2017-05-11;Jeudi;Zone FIMU;Populaire;NR;Resident;Visiteur;Periode normale;439
2017-05-11;Jeudi;Zone FIMU;Populaire;NR;Touriste Français;Excursionniste;Periode normale;56
2017-05-11;Jeudi;Zone FIMU;Populaire;NR;Touriste Français;Visiteur;Periode normale;439
2017-05-11;Jeudi;Zone FIMU;Populaire;populaire;Resident;Excursionniste;Periode normale;245
2017-05-11;Jeudi;Zone FIMU;Populaire;populaire;Resident;Visiteur;Periode normale;1976
2017-05-11;Jeudi;Zone FIMU;Populaire;populaire;Touriste Français;Excursionniste;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Populaire;populaire;Touriste Français;Visiteur;Periode normale;398
2017-05-11;Jeudi;Zone FIMU;Populaire;rural ouvrier;Resident;Excursionniste;Periode normale;69
2017-05-11;Jeudi;Zone FIMU;Populaire;rural ouvrier;Resident;Visiteur;Periode normale;393
2017-05-11;Jeudi;Zone FIMU;Populaire;rural ouvrier;Touriste Français;Excursionniste;Periode normale;130
2017-05-11;Jeudi;Zone FIMU;Populaire;rural ouvrier;Touriste Français;Visiteur;Periode normale;1017
2017-05-11;Jeudi;Zone FIMU;Populaire;rural traditionnel;Resident;Excursionniste;Periode normale;64
2017-05-11;Jeudi;Zone FIMU;Populaire;rural traditionnel;Resident;Visiteur;Periode normale;716
2017-05-11;Jeudi;Zone FIMU;Populaire;rural traditionnel;Touriste Français;Excursionniste;Periode normale;71
2017-05-11;Jeudi;Zone FIMU;Populaire;rural traditionnel;Touriste Français;Visiteur;Periode normale;234
2017-05-11;Jeudi;Zone FIMU;Populaire;urbain defavorise;Resident;Excursionniste;Periode normale;134
2017-05-11;Jeudi;Zone FIMU;Populaire;urbain defavorise;Resident;Visiteur;Periode normale;1490
2017-05-11;Jeudi;Zone FIMU;Populaire;urbain defavorise;Touriste Français;Excursionniste;Periode normale;26
2017-05-11;Jeudi;Zone FIMU;Populaire;urbain defavorise;Touriste Français;Visiteur;Periode normale;72
2017-05-12;Vendredi;Zone FIMU;CSP en croissance;NR;Resident;Excursionniste;Periode normale;85
2017-05-12;Vendredi;Zone FIMU;CSP en croissance;NR;Touriste Français;Excursionniste;Periode normale;85
2017-05-12;Vendredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;Excursionniste;Periode normale;344
2017-05-12;Vendredi;Zone FIMU;CSP en croissance;periurbain en croissance;Resident;Visiteur;Periode normale;2317
2017-05-12;Vendredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;Excursionniste;Periode normale;115
2017-05-12;Vendredi;Zone FIMU;CSP en croissance;periurbain en croissance;Touriste Français;Visiteur;Periode normale;770
2017-05-12;Vendredi;Zone FIMU;CSP en croissance;residence secondaire;Touriste Français;Visiteur;Periode normale;#
2017-05-12;Vendredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;Excursionniste;Periode normale;549
2017-05-12;Vendredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Resident;Visiteur;Periode normale;3895
2017-05-12;Vendredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;Excursionniste;Periode normale;92
2017-05-12;Vendredi;Zone FIMU;CSP en croissance;urbain classe moyenne;Touriste Français;Visiteur;Periode normale;424
2017-05-12;Vendredi;Zone FIMU;CSP+;NR;Resident;Excursionniste;Periode normale;85
