Date;JourDeLaSemaine;ZoneAnalyse;DureeVisite;CategorieVisiteurs;TypeDeJour;Volume
2017-05-14;Dimanche;Zone FIMU;Duree4h;Touriste Etranger;Periode normale;26
2017-05-14;Dimanche;Zone FIMU;Duree4h;Touriste Français;Periode normale;368
2017-05-14;Dimanche;Zone FIMU;Duree5h;Resident;Periode normale;530
2017-05-14;Dimanche;Zone FIMU;Duree5h;Touriste Etranger;Periode normale;21
2017-05-14;Dimanche;Zone FIMU;Duree5h;Touriste Français;Periode normale;329
2017-05-14;Dimanche;Zone FIMU;Duree6h;Resident;Periode normale;570
2017-05-14;Dimanche;Zone FIMU;Duree6h;Touriste Etranger;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;Duree6h;Touriste Français;Periode normale;164
2017-05-14;Dimanche;Zone FIMU;Duree7h;Resident;Periode normale;813
2017-05-14;Dimanche;Zone FIMU;Duree7h;Touriste Etranger;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;Duree7h;Touriste Français;Periode normale;260
2017-05-14;Dimanche;Zone FIMU;Duree8h;Resident;Periode normale;330
2017-05-14;Dimanche;Zone FIMU;Duree8h;Touriste Etranger;Periode normale;28
2017-05-14;Dimanche;Zone FIMU;Duree8h;Touriste Français;Periode normale;205
2017-05-14;Dimanche;Zone FIMU;Duree9h;Resident;Periode normale;368
2017-05-14;Dimanche;Zone FIMU;Duree9h;Touriste Etranger;Periode normale;#
2017-05-14;Dimanche;Zone FIMU;Duree9h;Touriste Français;Periode normale;148
2017-05-15;Lundi;Zone FIMU;Duree10h;Resident;Periode normale;679
2017-05-15;Lundi;Zone FIMU;Duree10h;Touriste Etranger;Periode normale;#
2017-05-15;Lundi;Zone FIMU;Duree10h;Touriste Français;Periode normale;153
2017-05-15;Lundi;Zone FIMU;Duree10h-18h;Resident;Periode normale;2746
2017-05-15;Lundi;Zone FIMU;Duree10h-18h;Touriste Etranger;Periode normale;23
2017-05-15;Lundi;Zone FIMU;Duree10h-18h;Touriste Français;Periode normale;1276
2017-05-15;Lundi;Zone FIMU;Duree2h;Resident;Periode normale;2282
2017-05-15;Lundi;Zone FIMU;Duree2h;Touriste Etranger;Periode normale;36
2017-05-15;Lundi;Zone FIMU;Duree2h;Touriste Français;Periode normale;1350
2017-05-15;Lundi;Zone FIMU;Duree3h;Resident;Periode normale;2948
2017-05-15;Lundi;Zone FIMU;Duree3h;Touriste Etranger;Periode normale;92
2017-05-15;Lundi;Zone FIMU;Duree3h;Touriste Français;Periode normale;1538
2017-05-15;Lundi;Zone FIMU;Duree4h;Resident;Periode normale;1429
2017-05-15;Lundi;Zone FIMU;Duree4h;Touriste Etranger;Periode normale;32
2017-05-15;Lundi;Zone FIMU;Duree4h;Touriste Français;Periode normale;643
2017-05-15;Lundi;Zone FIMU;Duree5h;Resident;Periode normale;974
2017-05-15;Lundi;Zone FIMU;Duree5h;Touriste Etranger;Periode normale;#
2017-05-15;Lundi;Zone FIMU;Duree5h;Touriste Français;Periode normale;473
2017-05-15;Lundi;Zone FIMU;Duree6h;Resident;Periode normale;815
2017-05-15;Lundi;Zone FIMU;Duree6h;Touriste Etranger;Periode normale;25
2017-05-15;Lundi;Zone FIMU;Duree6h;Touriste Français;Periode normale;640
2017-05-15;Lundi;Zone FIMU;Duree7h;Resident;Periode normale;1249
2017-05-15;Lundi;Zone FIMU;Duree7h;Touriste Etranger;Periode normale;#
2017-05-15;Lundi;Zone FIMU;Duree7h;Touriste Français;Periode normale;584
2017-05-15;Lundi;Zone FIMU;Duree8h;Resident;Periode normale;833
2017-05-15;Lundi;Zone FIMU;Duree8h;Touriste Français;Periode normale;469
2017-05-15;Lundi;Zone FIMU;Duree9h;Resident;Periode normale;467
2017-05-15;Lundi;Zone FIMU;Duree9h;Touriste Etranger;Periode normale;#
2017-05-15;Lundi;Zone FIMU;Duree9h;Touriste Français;Periode normale;182
2017-05-16;Mardi;Zone FIMU;Duree10h;Resident;Periode normale;654
2017-05-16;Mardi;Zone FIMU;Duree10h;Touriste Etranger;Periode normale;#
2017-05-16;Mardi;Zone FIMU;Duree10h;Touriste Français;Periode normale;203
2017-05-16;Mardi;Zone FIMU;Duree10h-18h;Resident;Periode normale;2715
2017-05-16;Mardi;Zone FIMU;Duree10h-18h;Touriste Etranger;Periode normale;38
2017-05-16;Mardi;Zone FIMU;Duree10h-18h;Touriste Français;Periode normale;1247
2017-05-16;Mardi;Zone FIMU;Duree2h;Resident;Periode normale;2394
2017-05-16;Mardi;Zone FIMU;Duree2h;Touriste Etranger;Periode normale;47
2017-05-16;Mardi;Zone FIMU;Duree2h;Touriste Français;Periode normale;1424
2017-05-16;Mardi;Zone FIMU;Duree3h;Resident;Periode normale;3378
2017-05-16;Mardi;Zone FIMU;Duree3h;Touriste Etranger;Periode normale;110
2017-05-16;Mardi;Zone FIMU;Duree3h;Touriste Français;Periode normale;2013
2017-05-16;Mardi;Zone FIMU;Duree4h;Resident;Periode normale;1510
2017-05-16;Mardi;Zone FIMU;Duree4h;Touriste Etranger;Periode normale;#
2017-05-16;Mardi;Zone FIMU;Duree4h;Touriste Français;Periode normale;836
2017-05-16;Mardi;Zone FIMU;Duree5h;Resident;Periode normale;979
2017-05-16;Mardi;Zone FIMU;Duree5h;Touriste Etranger;Periode normale;#
2017-05-16;Mardi;Zone FIMU;Duree5h;Touriste Français;Periode normale;723
2017-05-16;Mardi;Zone FIMU;Duree6h;Resident;Periode normale;968
2017-05-16;Mardi;Zone FIMU;Duree6h;Touriste Etranger;Periode normale;#
2017-05-16;Mardi;Zone FIMU;Duree6h;Touriste Français;Periode normale;459
2017-05-16;Mardi;Zone FIMU;Duree7h;Resident;Periode normale;1284
2017-05-16;Mardi;Zone FIMU;Duree7h;Touriste Etranger;Periode normale;#
2017-05-16;Mardi;Zone FIMU;Duree7h;Touriste Français;Periode normale;554
2017-05-16;Mardi;Zone FIMU;Duree8h;Resident;Periode normale;865
2017-05-16;Mardi;Zone FIMU;Duree8h;Touriste Français;Periode normale;443
2017-05-16;Mardi;Zone FIMU;Duree9h;Resident;Periode normale;622
2017-05-16;Mardi;Zone FIMU;Duree9h;Touriste Français;Periode normale;161
2017-05-17;Mercredi;Zone FIMU;Duree10h;Resident;Periode normale;502
2017-05-17;Mercredi;Zone FIMU;Duree10h;Touriste Etranger;Periode normale;#
2017-05-17;Mercredi;Zone FIMU;Duree10h;Touriste Français;Periode normale;273
2017-05-17;Mercredi;Zone FIMU;Duree10h-18h;Resident;Periode normale;2831
2017-05-17;Mercredi;Zone FIMU;Duree10h-18h;Touriste Etranger;Periode normale;27
2017-05-17;Mercredi;Zone FIMU;Duree10h-18h;Touriste Français;Periode normale;1194
2017-05-17;Mercredi;Zone FIMU;Duree2h;Resident;Periode normale;2309
2017-05-17;Mercredi;Zone FIMU;Duree2h;Touriste Etranger;Periode normale;52
2017-05-17;Mercredi;Zone FIMU;Duree2h;Touriste Français;Periode normale;1444
2017-05-17;Mercredi;Zone FIMU;Duree3h;Resident;Periode normale;3234
2017-05-17;Mercredi;Zone FIMU;Duree3h;Touriste Etranger;Periode normale;76
2017-05-17;Mercredi;Zone FIMU;Duree3h;Touriste Français;Periode normale;1779
2017-05-17;Mercredi;Zone FIMU;Duree4h;Resident;Periode normale;1546
2017-05-17;Mercredi;Zone FIMU;Duree4h;Touriste Etranger;Periode normale;#
2017-05-17;Mercredi;Zone FIMU;Duree4h;Touriste Français;Periode normale;723
2017-05-17;Mercredi;Zone FIMU;Duree5h;Resident;Periode normale;931
2017-05-17;Mercredi;Zone FIMU;Duree5h;Touriste Etranger;Periode normale;#
2017-05-17;Mercredi;Zone FIMU;Duree5h;Touriste Français;Periode normale;466
2017-05-17;Mercredi;Zone FIMU;Duree6h;Resident;Periode normale;950
2017-05-17;Mercredi;Zone FIMU;Duree6h;Touriste Etranger;Periode normale;#
2017-05-17;Mercredi;Zone FIMU;Duree6h;Touriste Français;Periode normale;434
2017-05-17;Mercredi;Zone FIMU;Duree7h;Resident;Periode normale;1011
2017-05-17;Mercredi;Zone FIMU;Duree7h;Touriste Etranger;Periode normale;36
2017-05-17;Mercredi;Zone FIMU;Duree7h;Touriste Français;Periode normale;550
2017-05-17;Mercredi;Zone FIMU;Duree8h;Resident;Periode normale;637
2017-05-17;Mercredi;Zone FIMU;Duree8h;Touriste Etranger;Periode normale;#
2017-05-17;Mercredi;Zone FIMU;Duree8h;Touriste Français;Periode normale;422
2017-05-17;Mercredi;Zone FIMU;Duree9h;Resident;Periode normale;735
2017-05-17;Mercredi;Zone FIMU;Duree9h;Touriste Français;Periode normale;281
2017-05-18;Jeudi;Zone FIMU;Duree10h;Resident;Periode normale;554
2017-05-18;Jeudi;Zone FIMU;Duree10h;Touriste Français;Periode normale;294
2017-05-18;Jeudi;Zone FIMU;Duree10h-18h;Resident;Periode normale;2693
2017-05-18;Jeudi;Zone FIMU;Duree10h-18h;Touriste Etranger;Periode normale;29
2017-05-18;Jeudi;Zone FIMU;Duree10h-18h;Touriste Français;Periode normale;1122
2017-05-18;Jeudi;Zone FIMU;Duree2h;Resident;Periode normale;2194
2017-05-18;Jeudi;Zone FIMU;Duree2h;Touriste Etranger;Periode normale;62
2017-05-18;Jeudi;Zone FIMU;Duree2h;Touriste Français;Periode normale;1251
2017-05-18;Jeudi;Zone FIMU;Duree3h;Resident;Periode normale;3312
2017-05-18;Jeudi;Zone FIMU;Duree3h;Touriste Etranger;Periode normale;111
2017-05-18;Jeudi;Zone FIMU;Duree3h;Touriste Français;Periode normale;1777
2017-05-18;Jeudi;Zone FIMU;Duree4h;Resident;Periode normale;1323
2017-05-18;Jeudi;Zone FIMU;Duree4h;Touriste Etranger;Periode normale;#
2017-05-18;Jeudi;Zone FIMU;Duree4h;Touriste Français;Periode normale;874
2017-05-18;Jeudi;Zone FIMU;Duree5h;Resident;Periode normale;995
2017-05-18;Jeudi;Zone FIMU;Duree5h;Touriste Etranger;Periode normale;#
2017-05-18;Jeudi;Zone FIMU;Duree5h;Touriste Français;Periode normale;773
2017-05-18;Jeudi;Zone FIMU;Duree6h;Resident;Periode normale;1252
2017-05-18;Jeudi;Zone FIMU;Duree6h;Touriste Etranger;Periode normale;#
2017-05-18;Jeudi;Zone FIMU;Duree6h;Touriste Français;Periode normale;492
2017-05-18;Jeudi;Zone FIMU;Duree7h;Resident;Periode normale;1132
2017-05-18;Jeudi;Zone FIMU;Duree7h;Touriste Etranger;Periode normale;21
2017-05-18;Jeudi;Zone FIMU;Duree7h;Touriste Français;Periode normale;646
2017-05-18;Jeudi;Zone FIMU;Duree8h;Resident;Periode normale;1045
2017-05-18;Jeudi;Zone FIMU;Duree8h;Touriste Etranger;Periode normale;#
2017-05-18;Jeudi;Zone FIMU;Duree8h;Touriste Français;Periode normale;303
2017-05-18;Jeudi;Zone FIMU;Duree9h;Resident;Periode normale;812
2017-05-18;Jeudi;Zone FIMU;Duree9h;Touriste Etranger;Periode normale;27
2017-05-18;Jeudi;Zone FIMU;Duree9h;Touriste Français;Periode normale;225
2017-05-19;Vendredi;Zone FIMU;Duree10h;Resident;Periode normale;498
2017-05-19;Vendredi;Zone FIMU;Duree10h;Touriste Etranger;Periode normale;#
2017-05-19;Vendredi;Zone FIMU;Duree10h;Touriste Français;Periode normale;325
2017-05-19;Vendredi;Zone FIMU;Duree10h-18h;Resident;Periode normale;2757
2017-05-19;Vendredi;Zone FIMU;Duree10h-18h;Touriste Etranger;Periode normale;25
2017-05-19;Vendredi;Zone FIMU;Duree10h-18h;Touriste Français;Periode normale;941
2017-05-19;Vendredi;Zone FIMU;Duree2h;Resident;Periode normale;2352
2017-05-19;Vendredi;Zone FIMU;Duree2h;Touriste Etranger;Periode normale;22
2017-05-19;Vendredi;Zone FIMU;Duree2h;Touriste Français;Periode normale;1354
2017-05-19;Vendredi;Zone FIMU;Duree3h;Resident;Periode normale;3262
2017-05-19;Vendredi;Zone FIMU;Duree3h;Touriste Etranger;Periode normale;69
2017-05-19;Vendredi;Zone FIMU;Duree3h;Touriste Français;Periode normale;2165
2017-05-19;Vendredi;Zone FIMU;Duree4h;Resident;Periode normale;1218
2017-05-19;Vendredi;Zone FIMU;Duree4h;Touriste Etranger;Periode normale;#
2017-05-19;Vendredi;Zone FIMU;Duree4h;Touriste Français;Periode normale;587
2017-05-19;Vendredi;Zone FIMU;Duree5h;Resident;Periode normale;1145
2017-05-19;Vendredi;Zone FIMU;Duree5h;Touriste Etranger;Periode normale;#
2017-05-19;Vendredi;Zone FIMU;Duree5h;Touriste Français;Periode normale;646
2017-05-19;Vendredi;Zone FIMU;Duree6h;Resident;Periode normale;1039
2017-05-19;Vendredi;Zone FIMU;Duree6h;Touriste Etranger;Periode normale;#
2017-05-19;Vendredi;Zone FIMU;Duree6h;Touriste Français;Periode normale;466
2017-05-19;Vendredi;Zone FIMU;Duree7h;Resident;Periode normale;1139
2017-05-19;Vendredi;Zone FIMU;Duree7h;Touriste Etranger;Periode normale;#
2017-05-19;Vendredi;Zone FIMU;Duree7h;Touriste Français;Periode normale;483
2017-05-19;Vendredi;Zone FIMU;Duree8h;Resident;Periode normale;829
2017-05-19;Vendredi;Zone FIMU;Duree8h;Touriste Etranger;Periode normale;#
2017-05-19;Vendredi;Zone FIMU;Duree8h;Touriste Français;Periode normale;552
2017-05-19;Vendredi;Zone FIMU;Duree9h;Resident;Periode normale;498
2017-05-19;Vendredi;Zone FIMU;Duree9h;Touriste Etranger;Periode normale;#
2017-05-19;Vendredi;Zone FIMU;Duree9h;Touriste Français;Periode normale;238
2017-05-20;Samedi;Zone FIMU;Duree10h;Resident;Periode normale;488
2017-05-20;Samedi;Zone FIMU;Duree10h;Touriste Etranger;Periode normale;#
2017-05-20;Samedi;Zone FIMU;Duree10h;Touriste Français;Periode normale;153
2017-05-20;Samedi;Zone FIMU;Duree10h-18h;Resident;Periode normale;3074
2017-05-20;Samedi;Zone FIMU;Duree10h-18h;Touriste Etranger;Periode normale;45
2017-05-20;Samedi;Zone FIMU;Duree10h-18h;Touriste Français;Periode normale;1208
2017-05-20;Samedi;Zone FIMU;Duree2h;Resident;Periode normale;2510
2017-05-20;Samedi;Zone FIMU;Duree2h;Touriste Etranger;Periode normale;56
2017-05-20;Samedi;Zone FIMU;Duree2h;Touriste Français;Periode normale;1129
2017-05-20;Samedi;Zone FIMU;Duree3h;Resident;Periode normale;3122
2017-05-20;Samedi;Zone FIMU;Duree3h;Touriste Etranger;Periode normale;59
2017-05-20;Samedi;Zone FIMU;Duree3h;Touriste Français;Periode normale;1530
2017-05-20;Samedi;Zone FIMU;Duree4h;Resident;Periode normale;1040
2017-05-20;Samedi;Zone FIMU;Duree4h;Touriste Etranger;Periode normale;#
2017-05-20;Samedi;Zone FIMU;Duree4h;Touriste Français;Periode normale;698
2017-05-20;Samedi;Zone FIMU;Duree5h;Resident;Periode normale;768
2017-05-20;Samedi;Zone FIMU;Duree5h;Touriste Etranger;Periode normale;#
2017-05-20;Samedi;Zone FIMU;Duree5h;Touriste Français;Periode normale;335
2017-05-20;Samedi;Zone FIMU;Duree6h;Resident;Periode normale;544
2017-05-20;Samedi;Zone FIMU;Duree6h;Touriste Etranger;Periode normale;#
2017-05-20;Samedi;Zone FIMU;Duree6h;Touriste Français;Periode normale;292
2017-05-20;Samedi;Zone FIMU;Duree7h;Resident;Periode normale;753
2017-05-20;Samedi;Zone FIMU;Duree7h;Touriste Etranger;Periode normale;30
2017-05-20;Samedi;Zone FIMU;Duree7h;Touriste Français;Periode normale;396
2017-05-20;Samedi;Zone FIMU;Duree8h;Resident;Periode normale;600
2017-05-20;Samedi;Zone FIMU;Duree8h;Touriste Etranger;Periode normale;#
2017-05-20;Samedi;Zone FIMU;Duree8h;Touriste Français;Periode normale;195
