Date;JourDeLaSemaine;Heure;ZoneAnalyse;Presence30Min;CategorieVisiteurs;TypeDeJour;Volume
2017-05-10;Mercredi;22:30:00;Zone FIMU;Present;Touriste Français;Periode normale;2170
2017-05-10;Mercredi;23:00:00;Zone FIMU;Present;Resident;Periode normale;5757
2017-05-10;Mercredi;23:00:00;Zone FIMU;Present;Touriste Etranger;Periode normale;54
2017-05-10;Mercredi;23:00:00;Zone FIMU;Present;Touriste Français;Periode normale;2957
2017-05-10;Mercredi;23:30:00;Zone FIMU;Present;Resident;Periode normale;5011
2017-05-10;Mercredi;23:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;32
2017-05-10;Mercredi;23:30:00;Zone FIMU;Present;Touriste Français;Periode normale;844
2017-05-11;Jeudi;00:00:00;Zone FIMU;Present;Resident;Periode normale;2464
2017-05-11;Jeudi;00:00:00;Zone FIMU;Present;Touriste Français;Periode normale;1468
2017-05-11;Jeudi;00:30:00;Zone FIMU;Present;Resident;Periode normale;1788
2017-05-11;Jeudi;01:00:00;Zone FIMU;Present;Resident;Periode normale;1479
2017-05-11;Jeudi;01:30:00;Zone FIMU;Present;Resident;Periode normale;989
2017-05-11;Jeudi;02:00:00;Zone FIMU;Present;Resident;Periode normale;514
2017-05-11;Jeudi;02:00:00;Zone FIMU;Present;Touriste Français;Periode normale;237
2017-05-11;Jeudi;02:30:00;Zone FIMU;Present;Resident;Periode normale;100
2017-05-11;Jeudi;02:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;100
2017-05-11;Jeudi;02:30:00;Zone FIMU;Present;Touriste Français;Periode normale;100
2017-05-11;Jeudi;03:00:00;Zone FIMU;Present;Resident;Periode normale;483
2017-05-11;Jeudi;03:30:00;Zone FIMU;Present;Resident;Periode normale;199
2017-05-11;Jeudi;03:30:00;Zone FIMU;Present;Touriste Etranger;Periode normale;199
2017-05-11;Jeudi;03:30:00;Zone FIMU;Present;Touriste Français;Periode normale;199
2017-05-11;Jeudi;04:00:00;Zone FIMU;Present;Resident;Periode normale;566
2017-05-11;Jeudi;04:00:00;Zone FIMU;Present;Touriste Français;Periode normale;237
2017-05-11;Jeudi;04:30:00;Zone FIMU;Present;Resident;Periode normale;247
