Date;JourDeLaSemaine;ZoneAnalyse;Genre;CategorieVisiteurs;TypeDeVisite;TypeDeJour;Volume
2017-05-18;Jeudi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;3278
2017-05-19;Vendredi;Zone FIMU;F;Resident;Excursionniste;Periode normale;707
2017-05-19;Vendredi;Zone FIMU;F;Resident;Visiteur;Periode normale;7708
2017-05-19;Vendredi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;371
2017-05-19;Vendredi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;2345
2017-05-19;Vendredi;Zone FIMU;H;Resident;Excursionniste;Periode normale;622
2017-05-19;Vendredi;Zone FIMU;H;Resident;Visiteur;Periode normale;6676
2017-05-19;Vendredi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;342
2017-05-19;Vendredi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;2107
2017-05-19;Vendredi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;284
2017-05-19;Vendredi;Zone FIMU;NR;Resident;Visiteur;Periode normale;350
2017-05-19;Vendredi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;273
2017-05-19;Vendredi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;3305
2017-05-20;Samedi;Zone FIMU;F;Resident;Excursionniste;Periode normale;420
2017-05-20;Samedi;Zone FIMU;F;Resident;Visiteur;Periode normale;6492
2017-05-20;Samedi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;289
2017-05-20;Samedi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;2305
2017-05-20;Samedi;Zone FIMU;H;Resident;Excursionniste;Periode normale;673
2017-05-20;Samedi;Zone FIMU;H;Resident;Visiteur;Periode normale;6281
2017-05-20;Samedi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;298
2017-05-20;Samedi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;1886
2017-05-20;Samedi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;99
2017-05-20;Samedi;Zone FIMU;NR;Resident;Visiteur;Periode normale;1316
2017-05-20;Samedi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;95
2017-05-20;Samedi;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;1048
2017-05-21;Dimanche;Zone FIMU;F;Resident;Excursionniste;Periode normale;472
2017-05-21;Dimanche;Zone FIMU;F;Resident;Visiteur;Periode normale;5004
2017-05-21;Dimanche;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;207
2017-05-21;Dimanche;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;1332
2017-05-21;Dimanche;Zone FIMU;H;Resident;Excursionniste;Periode normale;573
2017-05-21;Dimanche;Zone FIMU;H;Resident;Visiteur;Periode normale;4605
2017-05-21;Dimanche;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;205
2017-05-21;Dimanche;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;1294
2017-05-21;Dimanche;Zone FIMU;NR;Resident;Excursionniste;Periode normale;73
2017-05-21;Dimanche;Zone FIMU;NR;Resident;Visiteur;Periode normale;940
2017-05-21;Dimanche;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;71
2017-05-21;Dimanche;Zone FIMU;NR;Touriste Français;Visiteur;Periode normale;835
2017-05-22;Lundi;Zone FIMU;F;Resident;Excursionniste;Periode normale;873
2017-05-22;Lundi;Zone FIMU;F;Resident;Visiteur;Periode normale;6895
2017-05-22;Lundi;Zone FIMU;F;Touriste Français;Excursionniste;Periode normale;314
2017-05-22;Lundi;Zone FIMU;F;Touriste Français;Visiteur;Periode normale;2156
2017-05-22;Lundi;Zone FIMU;H;Resident;Excursionniste;Periode normale;706
2017-05-22;Lundi;Zone FIMU;H;Resident;Visiteur;Periode normale;6663
2017-05-22;Lundi;Zone FIMU;H;Touriste Français;Excursionniste;Periode normale;370
2017-05-22;Lundi;Zone FIMU;H;Touriste Français;Visiteur;Periode normale;1898
2017-05-22;Lundi;Zone FIMU;NR;Resident;Excursionniste;Periode normale;87
2017-05-22;Lundi;Zone FIMU;NR;Resident;Visiteur;Periode normale;435
2017-05-22;Lundi;Zone FIMU;NR;Touriste Français;Excursionniste;Periode normale;349
