Date;JourDeLaSemaine;Genre;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-29;Vendredi;H;Excursionniste;Journee;Résident ;All-FIMU;1305
2016-04-29;Vendredi;H;Excursionniste;Journee;Touriste Français;All-FIMU;355
2016-04-29;Vendredi;NR;Visiteur;Journee;Résident ;All-FIMU;415
2016-04-29;Vendredi;NR;Visiteur;Journee;Touriste Français;All-FIMU;84
2016-04-29;Vendredi;NR;Excursionniste;Journee;Résident ;All-FIMU;79
2016-04-29;Vendredi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-30;Samedi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;11129
2016-04-30;Samedi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3474
2016-04-30;Samedi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;1771
2016-04-30;Samedi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;609
2016-04-30;Samedi;F;Visiteur;Journee;Résident ;All-FIMU;5575
2016-04-30;Samedi;F;Visiteur;Journee;Touriste Français;All-FIMU;1524
2016-04-30;Samedi;F;Excursionniste;Journee;Résident ;All-FIMU;851
2016-04-30;Samedi;F;Excursionniste;Journee;Touriste Français;All-FIMU;290
2016-04-30;Samedi;H;Visiteur;Journee;Résident ;All-FIMU;5248
2016-04-30;Samedi;H;Visiteur;Journee;Touriste Français;All-FIMU;1900
2016-04-30;Samedi;H;Excursionniste;Journee;Résident ;All-FIMU;851
2016-04-30;Samedi;H;Excursionniste;Journee;Touriste Français;All-FIMU;312
2016-04-30;Samedi;NR;Visiteur;Journee;Résident ;All-FIMU;306
2016-04-30;Samedi;NR;Visiteur;Journee;Touriste Français;All-FIMU;50
2016-04-30;Samedi;NR;Excursionniste;Journee;Résident ;All-FIMU;69
2016-04-30;Samedi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-05-01;Dimanche;CUMUL;Visiteur;Journee;Résident ;All-FIMU;8149
2016-05-01;Dimanche;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;2513
2016-05-01;Dimanche;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;1078
2016-05-01;Dimanche;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;544
2016-05-01;Dimanche;F;Visiteur;Journee;Résident ;All-FIMU;4144
2016-05-01;Dimanche;F;Visiteur;Journee;Touriste Français;All-FIMU;1022
2016-05-01;Dimanche;F;Excursionniste;Journee;Résident ;All-FIMU;485
2016-05-01;Dimanche;F;Excursionniste;Journee;Touriste Français;All-FIMU;207
2016-05-01;Dimanche;H;Visiteur;Journee;Résident ;All-FIMU;3817
2016-05-01;Dimanche;H;Visiteur;Journee;Touriste Français;All-FIMU;1424
2016-05-01;Dimanche;H;Excursionniste;Journee;Résident ;All-FIMU;564
2016-05-01;Dimanche;H;Excursionniste;Journee;Touriste Français;All-FIMU;322
2016-05-01;Dimanche;NR;Visiteur;Journee;Résident ;All-FIMU;188
2016-05-01;Dimanche;NR;Visiteur;Journee;Touriste Français;All-FIMU;67
2016-05-01;Dimanche;NR;Excursionniste;Journee;Résident ;All-FIMU;29
2016-05-01;Dimanche;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-05-02;Lundi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;13300
2016-05-02;Lundi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3258
2016-05-02;Lundi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;1974
2016-05-02;Lundi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;655
2016-05-02;Lundi;F;Visiteur;Journee;Résident ;All-FIMU;6789
2016-05-02;Lundi;F;Visiteur;Journee;Touriste Français;All-FIMU;1537
2016-05-02;Lundi;F;Excursionniste;Journee;Résident ;All-FIMU;893
2016-05-02;Lundi;F;Excursionniste;Journee;Touriste Français;All-FIMU;279
2016-05-02;Lundi;H;Visiteur;Journee;Résident ;All-FIMU;6144
2016-05-02;Lundi;H;Visiteur;Journee;Touriste Français;All-FIMU;1644
2016-05-02;Lundi;H;Excursionniste;Journee;Résident ;All-FIMU;1042
2016-05-02;Lundi;H;Excursionniste;Journee;Touriste Français;All-FIMU;363
2016-05-02;Lundi;NR;Visiteur;Journee;Résident ;All-FIMU;367
2016-05-02;Lundi;NR;Visiteur;Journee;Touriste Français;All-FIMU;77
2016-05-02;Lundi;NR;Excursionniste;Journee;Résident ;All-FIMU;39
2016-05-02;Lundi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-05-03;Mardi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;14219
2016-05-03;Mardi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3721
2016-05-03;Mardi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;2443
2016-05-03;Mardi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;688
2016-05-03;Mardi;F;Visiteur;Journee;Résident ;All-FIMU;7522
2016-05-03;Mardi;F;Visiteur;Journee;Touriste Français;All-FIMU;1726
2016-05-03;Mardi;F;Excursionniste;Journee;Résident ;All-FIMU;1152
2016-05-03;Mardi;F;Excursionniste;Journee;Touriste Français;All-FIMU;274
2016-05-03;Mardi;H;Visiteur;Journee;Résident ;All-FIMU;6310
2016-05-03;Mardi;H;Visiteur;Journee;Touriste Français;All-FIMU;1910
2016-05-03;Mardi;H;Excursionniste;Journee;Résident ;All-FIMU;1212
2016-05-03;Mardi;H;Excursionniste;Journee;Touriste Français;All-FIMU;381
2016-05-03;Mardi;NR;Visiteur;Journee;Résident ;All-FIMU;387
2016-05-03;Mardi;NR;Visiteur;Journee;Touriste Français;All-FIMU;85
2016-05-03;Mardi;NR;Excursionniste;Journee;Résident ;All-FIMU;79
2016-05-03;Mardi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;33
2016-05-04;Mercredi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;13211
2016-05-04;Mercredi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3626
2016-05-04;Mercredi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;2326
2016-05-04;Mercredi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;690
2016-05-04;Mercredi;F;Visiteur;Journee;Résident ;All-FIMU;7113
2016-05-04;Mercredi;F;Visiteur;Journee;Touriste Français;All-FIMU;1781
2016-05-04;Mercredi;F;Excursionniste;Journee;Résident ;All-FIMU;1024
2016-05-04;Mercredi;F;Excursionniste;Journee;Touriste Français;All-FIMU;316
2016-05-04;Mercredi;H;Visiteur;Journee;Résident ;All-FIMU;5740
2016-05-04;Mercredi;H;Visiteur;Journee;Touriste Français;All-FIMU;1745
2016-05-04;Mercredi;H;Excursionniste;Journee;Résident ;All-FIMU;1213
2016-05-04;Mercredi;H;Excursionniste;Journee;Touriste Français;All-FIMU;338
2016-05-04;Mercredi;NR;Visiteur;Journee;Résident ;All-FIMU;358
2016-05-04;Mercredi;NR;Visiteur;Journee;Touriste Français;All-FIMU;100
2016-05-04;Mercredi;NR;Excursionniste;Journee;Résident ;All-FIMU;89
2016-05-04;Mercredi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;36
2016-05-05;Jeudi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;9929
2016-05-05;Jeudi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3324
2016-05-05;Jeudi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;1731
2016-05-05;Jeudi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;712
2016-05-05;Jeudi;F;Visiteur;Journee;Résident ;All-FIMU;5318
2016-05-05;Jeudi;F;Visiteur;Journee;Touriste Français;All-FIMU;1537
2016-05-05;Jeudi;F;Excursionniste;Journee;Résident ;All-FIMU;886
2016-05-05;Jeudi;F;Excursionniste;Journee;Touriste Français;All-FIMU;375
2016-05-05;Jeudi;H;Visiteur;Journee;Résident ;All-FIMU;4402
2016-05-05;Jeudi;H;Visiteur;Journee;Touriste Français;All-FIMU;1714
2016-05-05;Jeudi;H;Excursionniste;Journee;Résident ;All-FIMU;816
2016-05-05;Jeudi;H;Excursionniste;Journee;Touriste Français;All-FIMU;315
2016-05-05;Jeudi;NR;Visiteur;Journee;Résident ;All-FIMU;209
2016-05-05;Jeudi;NR;Visiteur;Journee;Touriste Français;All-FIMU;73
2016-05-05;Jeudi;NR;Excursionniste;Journee;Résident ;All-FIMU;29
2016-05-05;Jeudi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;22
