Date;JourDeLaSemaine;Geolife;CSP;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-23;Samedi;rural dynamique;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;303
2016-04-23;Samedi;rural dynamique;CSP+;Excursionniste;Journee;Résident ;All-FIMU;#
2016-04-23;Samedi;rural dynamique;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;46
2016-04-23;Samedi;rural ouvrier;Populaire;Visiteur;Journee;Résident ;All-FIMU;186
2016-04-23;Samedi;rural ouvrier;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;522
2016-04-23;Samedi;rural ouvrier;Populaire;Excursionniste;Journee;Résident ;All-FIMU;29
2016-04-23;Samedi;rural ouvrier;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;93
2016-04-23;Samedi;rural traditionnel;Populaire;Visiteur;Journee;Résident ;All-FIMU;137
2016-04-23;Samedi;rural traditionnel;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;239
2016-04-23;Samedi;rural traditionnel;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;66
2016-04-23;Samedi;urbain classe moyenne;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;2760
2016-04-23;Samedi;urbain classe moyenne;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;345
2016-04-23;Samedi;urbain classe moyenne;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;334
2016-04-23;Samedi;urbain classe moyenne;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;66
2016-04-23;Samedi;urbain defavorise;Populaire;Visiteur;Journee;Résident ;All-FIMU;736
2016-04-23;Samedi;urbain defavorise;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;112
2016-04-23;Samedi;urbain defavorise;Populaire;Excursionniste;Journee;Résident ;All-FIMU;137
2016-04-23;Samedi;urbain dynamique;CSP+;Visiteur;Journee;Résident ;All-FIMU;2790
2016-04-23;Samedi;urbain dynamique;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;134
2016-04-23;Samedi;urbain dynamique;CSP+;Excursionniste;Journee;Résident ;All-FIMU;491
2016-04-23;Samedi;urbain dynamique;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;40
2016-04-23;Samedi;urbain familial aise;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;77
2016-04-23;Samedi;urbain familial aise;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;26
2016-04-24;Dimanche;CUMUL;CUMUL;Visiteur;Journee;Résident ;All-FIMU;8051
2016-04-24;Dimanche;CUMUL;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;2010
2016-04-24;Dimanche;CUMUL;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;1293
2016-04-24;Dimanche;CUMUL;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;420
2016-04-24;Dimanche;NR;NR;Visiteur;Journee;Résident ;All-FIMU;344
2016-04-24;Dimanche;NR;NR;Visiteur;Journee;Touriste Français;All-FIMU;29
2016-04-24;Dimanche;NR;NR;Excursionniste;Journee;Résident ;All-FIMU;88
2016-04-24;Dimanche;NR;NR;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-24;Dimanche;pavillonnaire familial aise;CSP+;Visiteur;Journee;Résident ;All-FIMU;206
2016-04-24;Dimanche;pavillonnaire familial aise;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;276
2016-04-24;Dimanche;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Résident ;All-FIMU;#
2016-04-24;Dimanche;pavillonnaire familial aise;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;63
2016-04-24;Dimanche;periurbain en croissance;CSP en croissance;Visiteur;Journee;Résident ;All-FIMU;570
2016-04-24;Dimanche;periurbain en croissance;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;262
2016-04-24;Dimanche;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Résident ;All-FIMU;39
2016-04-24;Dimanche;periurbain en croissance;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;28
2016-04-24;Dimanche;populaire;Populaire;Visiteur;Journee;Résident ;All-FIMU;531
2016-04-24;Dimanche;populaire;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;152
2016-04-24;Dimanche;populaire;Populaire;Excursionniste;Journee;Résident ;All-FIMU;59
2016-04-24;Dimanche;populaire;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-24;Dimanche;residence secondaire;CSP en croissance;Visiteur;Journee;Touriste Français;All-FIMU;50
2016-04-24;Dimanche;residence secondaire;CSP en croissance;Excursionniste;Journee;Touriste Français;All-FIMU;21
2016-04-24;Dimanche;rural dynamique;CSP+;Visiteur;Journee;Résident ;All-FIMU;147
2016-04-24;Dimanche;rural dynamique;CSP+;Visiteur;Journee;Touriste Français;All-FIMU;196
2016-04-24;Dimanche;rural dynamique;CSP+;Excursionniste;Journee;Résident ;All-FIMU;29
2016-04-24;Dimanche;rural dynamique;CSP+;Excursionniste;Journee;Touriste Français;All-FIMU;56
2016-04-24;Dimanche;rural ouvrier;Populaire;Visiteur;Journee;Résident ;All-FIMU;49
2016-04-24;Dimanche;rural ouvrier;Populaire;Visiteur;Journee;Touriste Français;All-FIMU;334
2016-04-24;Dimanche;rural ouvrier;Populaire;Excursionniste;Journee;Résident ;All-FIMU;#
2016-04-24;Dimanche;rural ouvrier;Populaire;Excursionniste;Journee;Touriste Français;All-FIMU;42
