Date;JourDeLaSemaine;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-05-30;Lundi;Visiteur;Journee;Résident ;All-FIMU;12371
2016-05-30;Lundi;Visiteur;Journee;Touriste Français;All-FIMU;3127
2016-05-30;Lundi;Visiteur;Journee;Touriste Etranger;All-FIMU;692
2016-05-30;Lundi;Excursionniste;Journee;Résident ;All-FIMU;2218
2016-05-30;Lundi;Excursionniste;Journee;Touriste Français;All-FIMU;611
2016-05-30;Lundi;Excursionniste;Journee;Touriste Etranger;All-FIMU;272
2016-05-31;Mardi;Visiteur;Journee;Résident ;All-FIMU;13438
2016-05-31;Mardi;Visiteur;Journee;Touriste Français;All-FIMU;3385
2016-05-31;Mardi;Visiteur;Journee;Touriste Etranger;All-FIMU;785
2016-05-31;Mardi;Excursionniste;Journee;Résident ;All-FIMU;1984
2016-05-31;Mardi;Excursionniste;Journee;Touriste Français;All-FIMU;643
2016-05-31;Mardi;Excursionniste;Journee;Touriste Etranger;All-FIMU;319
2016-06-01;Mercredi;Visiteur;Journee;Résident ;All-FIMU;13550
2016-06-01;Mercredi;Visiteur;Journee;Touriste Français;All-FIMU;3556
2016-06-01;Mercredi;Visiteur;Journee;Touriste Etranger;All-FIMU;904
2016-06-01;Mercredi;Excursionniste;Journee;Résident ;All-FIMU;2057
2016-06-01;Mercredi;Excursionniste;Journee;Touriste Français;All-FIMU;515
2016-06-01;Mercredi;Excursionniste;Journee;Touriste Etranger;All-FIMU;418
2016-06-02;Jeudi;Visiteur;Journee;Résident ;All-FIMU;13391
2016-06-02;Jeudi;Visiteur;Journee;Touriste Français;All-FIMU;3739
2016-06-02;Jeudi;Visiteur;Journee;Touriste Etranger;All-FIMU;892
2016-06-02;Jeudi;Excursionniste;Journee;Résident ;All-FIMU;2221
2016-06-02;Jeudi;Excursionniste;Journee;Touriste Français;All-FIMU;663
2016-06-02;Jeudi;Excursionniste;Journee;Touriste Etranger;All-FIMU;354
2016-06-03;Vendredi;Visiteur;Journee;Résident ;All-FIMU;13842
2016-06-03;Vendredi;Visiteur;Journee;Touriste Français;All-FIMU;3797
2016-06-03;Vendredi;Visiteur;Journee;Touriste Etranger;All-FIMU;1072
2016-06-03;Vendredi;Excursionniste;Journee;Résident ;All-FIMU;2170
2016-06-03;Vendredi;Excursionniste;Journee;Touriste Français;All-FIMU;604
2016-06-03;Vendredi;Excursionniste;Journee;Touriste Etranger;All-FIMU;511
2016-06-04;Samedi;Visiteur;Journee;Résident ;All-FIMU;11543
2016-06-04;Samedi;Visiteur;Journee;Touriste Français;All-FIMU;3936
2016-06-04;Samedi;Visiteur;Journee;Touriste Etranger;All-FIMU;1417
2016-06-04;Samedi;Excursionniste;Journee;Résident ;All-FIMU;1741
2016-06-04;Samedi;Excursionniste;Journee;Touriste Français;All-FIMU;595
2016-06-04;Samedi;Excursionniste;Journee;Touriste Etranger;All-FIMU;734
2016-06-05;Dimanche;Visiteur;Journee;Résident ;All-FIMU;8022
2016-06-05;Dimanche;Visiteur;Journee;Touriste Français;All-FIMU;2568
2016-06-05;Dimanche;Visiteur;Journee;Touriste Etranger;All-FIMU;1031
2016-06-05;Dimanche;Excursionniste;Journee;Résident ;All-FIMU;1208
2016-06-05;Dimanche;Excursionniste;Journee;Touriste Français;All-FIMU;500
2016-06-05;Dimanche;Excursionniste;Journee;Touriste Etranger;All-FIMU;546
2016-06-06;Lundi;Visiteur;Journee;Résident ;All-FIMU;13838
2016-06-06;Lundi;Visiteur;Journee;Touriste Français;All-FIMU;3758
2016-06-06;Lundi;Visiteur;Journee;Touriste Etranger;All-FIMU;852
2016-06-06;Lundi;Excursionniste;Journee;Résident ;All-FIMU;2431
2016-06-06;Lundi;Excursionniste;Journee;Touriste Français;All-FIMU;758
2016-06-06;Lundi;Excursionniste;Journee;Touriste Etranger;All-FIMU;398
2016-06-07;Mardi;Visiteur;Journee;Résident ;All-FIMU;13726
2016-06-07;Mardi;Visiteur;Journee;Touriste Français;All-FIMU;3731
2016-06-07;Mardi;Visiteur;Journee;Touriste Etranger;All-FIMU;899
2016-06-07;Mardi;Excursionniste;Journee;Résident ;All-FIMU;2185
2016-06-07;Mardi;Excursionniste;Journee;Touriste Français;All-FIMU;681
2016-06-07;Mardi;Excursionniste;Journee;Touriste Etranger;All-FIMU;420
