Date;JourDeLaSemaine;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-24;Dimanche;Visiteur;5J;Résident ;All-FIMU;21984
2016-04-24;Dimanche;Visiteur;5J;Touriste Français;All-FIMU;7937
2016-04-24;Dimanche;Visiteur;5J;Touriste Etranger;All-FIMU;2149
2016-04-24;Dimanche;Visiteur;6J;Résident ;All-FIMU;21984
2016-04-24;Dimanche;Visiteur;6J;Touriste Français;All-FIMU;7937
2016-04-24;Dimanche;Visiteur;6J;Touriste Etranger;All-FIMU;2149
2016-04-24;Dimanche;Visiteur;7J;Résident ;All-FIMU;21984
2016-04-24;Dimanche;Visiteur;7J;Touriste Français;All-FIMU;7937
2016-04-24;Dimanche;Visiteur;7J;Touriste Etranger;All-FIMU;2149
2016-04-24;Dimanche;Visiteur;8J;Résident ;All-FIMU;21984
2016-04-24;Dimanche;Visiteur;8J;Touriste Français;All-FIMU;7937
2016-04-24;Dimanche;Visiteur;8J;Touriste Etranger;All-FIMU;2149
2016-04-24;Dimanche;Visiteur;9J;Résident ;All-FIMU;21984
2016-04-24;Dimanche;Visiteur;9J;Touriste Français;All-FIMU;7937
2016-04-24;Dimanche;Visiteur;9J;Touriste Etranger;All-FIMU;2149
2016-04-24;Dimanche;Visiteur;10J;Résident ;All-FIMU;21984
2016-04-24;Dimanche;Visiteur;10J;Touriste Français;All-FIMU;7937
2016-04-24;Dimanche;Visiteur;10J;Touriste Etranger;All-FIMU;2149
2016-04-24;Dimanche;Visiteur;11J;Résident ;All-FIMU;21984
2016-04-24;Dimanche;Visiteur;11J;Touriste Français;All-FIMU;7937
2016-04-24;Dimanche;Visiteur;11J;Touriste Etranger;All-FIMU;2149
2016-04-24;Dimanche;Visiteur;12J;Résident ;All-FIMU;21984
2016-04-24;Dimanche;Visiteur;12J;Touriste Français;All-FIMU;7937
2016-04-24;Dimanche;Visiteur;12J;Touriste Etranger;All-FIMU;2149
2016-04-24;Dimanche;Visiteur;13J;Résident ;All-FIMU;21984
2016-04-24;Dimanche;Visiteur;13J;Touriste Français;All-FIMU;7937
2016-04-24;Dimanche;Visiteur;13J;Touriste Etranger;All-FIMU;2149
2016-04-24;Dimanche;Visiteur;14J;Résident ;All-FIMU;21984
2016-04-24;Dimanche;Visiteur;14J;Touriste Français;All-FIMU;7937
2016-04-24;Dimanche;Visiteur;14J;Touriste Etranger;All-FIMU;2149
2016-04-25;Lundi;Visiteur;1J;Résident ;All-FIMU;12821
2016-04-25;Lundi;Visiteur;1J;Touriste Français;All-FIMU;3158
2016-04-25;Lundi;Visiteur;1J;Touriste Etranger;All-FIMU;851
2016-04-25;Lundi;Visiteur;2J;Résident ;All-FIMU;15214
2016-04-25;Lundi;Visiteur;2J;Touriste Français;All-FIMU;4262
2016-04-25;Lundi;Visiteur;2J;Touriste Etranger;All-FIMU;1269
2016-04-25;Lundi;Visiteur;3J;Résident ;All-FIMU;18552
2016-04-25;Lundi;Visiteur;3J;Touriste Français;All-FIMU;6104
2016-04-25;Lundi;Visiteur;3J;Touriste Etranger;All-FIMU;1795
2016-04-25;Lundi;Visiteur;4J;Résident ;All-FIMU;23013
2016-04-25;Lundi;Visiteur;4J;Touriste Français;All-FIMU;7962
2016-04-25;Lundi;Visiteur;4J;Touriste Etranger;All-FIMU;2237
2016-04-25;Lundi;Visiteur;5J;Résident ;All-FIMU;25967
2016-04-25;Lundi;Visiteur;5J;Touriste Français;All-FIMU;9555
2016-04-25;Lundi;Visiteur;5J;Touriste Etranger;All-FIMU;2643
2016-04-25;Lundi;Visiteur;6J;Résident ;All-FIMU;25967
2016-04-25;Lundi;Visiteur;6J;Touriste Français;All-FIMU;9555
2016-04-25;Lundi;Visiteur;6J;Touriste Etranger;All-FIMU;2643
2016-04-25;Lundi;Visiteur;7J;Résident ;All-FIMU;25967
2016-04-25;Lundi;Visiteur;7J;Touriste Français;All-FIMU;9555
2016-04-25;Lundi;Visiteur;7J;Touriste Etranger;All-FIMU;2643
2016-04-25;Lundi;Visiteur;8J;Résident ;All-FIMU;25967
2016-04-25;Lundi;Visiteur;8J;Touriste Français;All-FIMU;9555
2016-04-25;Lundi;Visiteur;8J;Touriste Etranger;All-FIMU;2643
2016-04-25;Lundi;Visiteur;9J;Résident ;All-FIMU;25967
2016-04-25;Lundi;Visiteur;9J;Touriste Français;All-FIMU;9555
