Date;JourDeLaSemaine;Heure;Presence30Min;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-24;Dimanche;12:30:00;Présent;Touriste Etranger;All-FIMU;293
2016-04-24;Dimanche;13:00:00;Présent;Résident ;All-FIMU;5109
2016-04-24;Dimanche;13:00:00;Présent;Touriste Français;All-FIMU;945
2016-04-24;Dimanche;13:00:00;Présent;Touriste Etranger;All-FIMU;250
2016-04-24;Dimanche;13:30:00;Présent;Résident ;All-FIMU;4941
2016-04-24;Dimanche;13:30:00;Présent;Touriste Français;All-FIMU;996
2016-04-24;Dimanche;13:30:00;Présent;Touriste Etranger;All-FIMU;265
2016-04-24;Dimanche;14:00:00;Présent;Résident ;All-FIMU;4903
2016-04-24;Dimanche;14:00:00;Présent;Touriste Français;All-FIMU;1024
2016-04-24;Dimanche;14:00:00;Présent;Touriste Etranger;All-FIMU;294
2016-04-24;Dimanche;14:30:00;Présent;Résident ;All-FIMU;4784
2016-04-24;Dimanche;14:30:00;Présent;Touriste Français;All-FIMU;1034
2016-04-24;Dimanche;14:30:00;Présent;Touriste Etranger;All-FIMU;316
2016-04-24;Dimanche;15:00:00;Présent;Résident ;All-FIMU;4687
2016-04-24;Dimanche;15:00:00;Présent;Touriste Français;All-FIMU;1033
2016-04-24;Dimanche;15:00:00;Présent;Touriste Etranger;All-FIMU;312
2016-04-24;Dimanche;15:30:00;Présent;Résident ;All-FIMU;4538
2016-04-24;Dimanche;15:30:00;Présent;Touriste Français;All-FIMU;1028
2016-04-24;Dimanche;15:30:00;Présent;Touriste Etranger;All-FIMU;295
2016-04-24;Dimanche;16:00:00;Présent;Résident ;All-FIMU;4444
2016-04-24;Dimanche;16:00:00;Présent;Touriste Français;All-FIMU;1058
2016-04-24;Dimanche;16:00:00;Présent;Touriste Etranger;All-FIMU;277
2016-04-24;Dimanche;16:30:00;Présent;Résident ;All-FIMU;4467
2016-04-24;Dimanche;16:30:00;Présent;Touriste Français;All-FIMU;1105
2016-04-24;Dimanche;16:30:00;Présent;Touriste Etranger;All-FIMU;277
2016-04-24;Dimanche;17:00:00;Présent;Résident ;All-FIMU;4574
2016-04-24;Dimanche;17:00:00;Présent;Touriste Français;All-FIMU;1213
2016-04-24;Dimanche;17:00:00;Présent;Touriste Etranger;All-FIMU;284
2016-04-24;Dimanche;17:30:00;Présent;Résident ;All-FIMU;4826
2016-04-24;Dimanche;17:30:00;Présent;Touriste Français;All-FIMU;1237
2016-04-24;Dimanche;17:30:00;Présent;Touriste Etranger;All-FIMU;299
2016-04-24;Dimanche;18:00:00;Présent;Résident ;All-FIMU;4963
2016-04-24;Dimanche;18:00:00;Présent;Touriste Français;All-FIMU;1207
2016-04-24;Dimanche;18:00:00;Présent;Touriste Etranger;All-FIMU;303
2016-04-24;Dimanche;18:30:00;Présent;Résident ;All-FIMU;5164
2016-04-24;Dimanche;18:30:00;Présent;Touriste Français;All-FIMU;1070
2016-04-24;Dimanche;18:30:00;Présent;Touriste Etranger;All-FIMU;294
2016-04-24;Dimanche;19:00:00;Présent;Résident ;All-FIMU;5081
2016-04-24;Dimanche;19:00:00;Présent;Touriste Français;All-FIMU;1041
2016-04-24;Dimanche;19:00:00;Présent;Touriste Etranger;All-FIMU;303
2016-04-24;Dimanche;19:30:00;Présent;Résident ;All-FIMU;5068
2016-04-24;Dimanche;19:30:00;Présent;Touriste Français;All-FIMU;1005
2016-04-24;Dimanche;19:30:00;Présent;Touriste Etranger;All-FIMU;314
2016-04-24;Dimanche;20:00:00;Présent;Résident ;All-FIMU;5036
2016-04-24;Dimanche;20:00:00;Présent;Touriste Français;All-FIMU;997
2016-04-24;Dimanche;20:00:00;Présent;Touriste Etranger;All-FIMU;328
2016-04-24;Dimanche;20:30:00;Présent;Résident ;All-FIMU;5145
2016-04-24;Dimanche;20:30:00;Présent;Touriste Français;All-FIMU;995
2016-04-24;Dimanche;20:30:00;Présent;Touriste Etranger;All-FIMU;328
2016-04-24;Dimanche;21:00:00;Présent;Résident ;All-FIMU;5148
2016-04-24;Dimanche;21:00:00;Présent;Touriste Français;All-FIMU;1044
2016-04-24;Dimanche;21:00:00;Présent;Touriste Etranger;All-FIMU;329
2016-04-24;Dimanche;21:30:00;Présent;Résident ;All-FIMU;5117
2016-04-24;Dimanche;21:30:00;Présent;Touriste Français;All-FIMU;985
2016-04-24;Dimanche;21:30:00;Présent;Touriste Etranger;All-FIMU;332
2016-04-24;Dimanche;22:00:00;Présent;Résident ;All-FIMU;4990
2016-04-24;Dimanche;22:00:00;Présent;Touriste Français;All-FIMU;893
2016-04-24;Dimanche;22:00:00;Présent;Touriste Etranger;All-FIMU;328
2016-04-24;Dimanche;22:30:00;Présent;Résident ;All-FIMU;5013
2016-04-24;Dimanche;22:30:00;Présent;Touriste Français;All-FIMU;873
2016-04-24;Dimanche;22:30:00;Présent;Touriste Etranger;All-FIMU;305
2016-04-24;Dimanche;23:00:00;Présent;Résident ;All-FIMU;4937
2016-04-24;Dimanche;23:00:00;Présent;Touriste Français;All-FIMU;868
2016-04-24;Dimanche;23:00:00;Présent;Touriste Etranger;All-FIMU;282
2016-04-24;Dimanche;23:30:00;Présent;Résident ;All-FIMU;4775
2016-04-24;Dimanche;23:30:00;Présent;Touriste Français;All-FIMU;864
2016-04-24;Dimanche;23:30:00;Présent;Touriste Etranger;All-FIMU;258
2016-04-25;Lundi;12:00:00;Présent;Résident ;All-FIMU;8182
2016-04-25;Lundi;12:00:00;Présent;Touriste Français;All-FIMU;2278
2016-04-25;Lundi;12:00:00;Présent;Touriste Etranger;All-FIMU;397
2016-04-25;Lundi;12:30:00;Présent;Résident ;All-FIMU;7889
2016-04-25;Lundi;12:30:00;Présent;Touriste Français;All-FIMU;2420
2016-04-25;Lundi;12:30:00;Présent;Touriste Etranger;All-FIMU;520
2016-04-25;Lundi;13:00:00;Présent;Résident ;All-FIMU;7822
2016-04-25;Lundi;13:00:00;Présent;Touriste Français;All-FIMU;2450
2016-04-25;Lundi;13:00:00;Présent;Touriste Etranger;All-FIMU;501
2016-04-25;Lundi;13:30:00;Présent;Résident ;All-FIMU;7495
2016-04-25;Lundi;13:30:00;Présent;Touriste Français;All-FIMU;2262
2016-04-25;Lundi;13:30:00;Présent;Touriste Etranger;All-FIMU;354
2016-04-25;Lundi;14:00:00;Présent;Résident ;All-FIMU;7677
2016-04-25;Lundi;14:00:00;Présent;Touriste Français;All-FIMU;2189
2016-04-25;Lundi;14:00:00;Présent;Touriste Etranger;All-FIMU;251
2016-04-25;Lundi;14:30:00;Présent;Résident ;All-FIMU;7646
2016-04-25;Lundi;14:30:00;Présent;Touriste Français;All-FIMU;2093
2016-04-25;Lundi;14:30:00;Présent;Touriste Etranger;All-FIMU;292
2016-04-25;Lundi;15:00:00;Présent;Résident ;All-FIMU;7881
2016-04-25;Lundi;15:00:00;Présent;Touriste Français;All-FIMU;2134
2016-04-25;Lundi;15:00:00;Présent;Touriste Etranger;All-FIMU;292
