Date;JourDeLaSemaine;DureeVisite;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-25;Lundi;Duree10h-18h;Touriste Etranger;All-FIMU;75
2016-04-26;Mardi;Duree1h;Résident ;All-FIMU;4466
2016-04-26;Mardi;Duree1h;Touriste Français;All-FIMU;1460
2016-04-26;Mardi;Duree1h;Touriste Etranger;All-FIMU;296
2016-04-26;Mardi;Duree2h;Résident ;All-FIMU;2099
2016-04-26;Mardi;Duree2h;Touriste Français;All-FIMU;625
2016-04-26;Mardi;Duree2h;Touriste Etranger;All-FIMU;133
2016-04-26;Mardi;Duree3h;Résident ;All-FIMU;2395
2016-04-26;Mardi;Duree3h;Touriste Français;All-FIMU;672
2016-04-26;Mardi;Duree3h;Touriste Etranger;All-FIMU;144
2016-04-26;Mardi;Duree4h;Résident ;All-FIMU;1784
2016-04-26;Mardi;Duree4h;Touriste Français;All-FIMU;546
2016-04-26;Mardi;Duree4h;Touriste Etranger;All-FIMU;294
2016-04-26;Mardi;Duree5h;Résident ;All-FIMU;1054
2016-04-26;Mardi;Duree5h;Touriste Français;All-FIMU;280
2016-04-26;Mardi;Duree5h;Touriste Etranger;All-FIMU;52
2016-04-26;Mardi;Duree6h;Résident ;All-FIMU;1399
2016-04-26;Mardi;Duree6h;Touriste Français;All-FIMU;415
2016-04-26;Mardi;Duree6h;Touriste Etranger;All-FIMU;66
2016-04-26;Mardi;Duree7h;Résident ;All-FIMU;1005
2016-04-26;Mardi;Duree7h;Touriste Français;All-FIMU;240
2016-04-26;Mardi;Duree7h;Touriste Etranger;All-FIMU;54
2016-04-26;Mardi;Duree8h;Résident ;All-FIMU;690
2016-04-26;Mardi;Duree8h;Touriste Français;All-FIMU;169
2016-04-26;Mardi;Duree8h;Touriste Etranger;All-FIMU;#
2016-04-26;Mardi;Duree9h;Résident ;All-FIMU;601
2016-04-26;Mardi;Duree9h;Touriste Français;All-FIMU;96
2016-04-26;Mardi;Duree9h;Touriste Etranger;All-FIMU;#
2016-04-26;Mardi;Duree10h;Résident ;All-FIMU;542
2016-04-26;Mardi;Duree10h;Touriste Français;All-FIMU;73
2016-04-26;Mardi;Duree10h;Touriste Etranger;All-FIMU;#
2016-04-26;Mardi;Duree10h-18h;Résident ;All-FIMU;1814
2016-04-26;Mardi;Duree10h-18h;Touriste Français;All-FIMU;237
2016-04-26;Mardi;Duree10h-18h;Touriste Etranger;All-FIMU;85
2016-04-27;Mercredi;Duree1h;Résident ;All-FIMU;4935
2016-04-27;Mercredi;Duree1h;Touriste Français;All-FIMU;1311
2016-04-27;Mercredi;Duree1h;Touriste Etranger;All-FIMU;293
2016-04-27;Mercredi;Duree2h;Résident ;All-FIMU;2270
2016-04-27;Mercredi;Duree2h;Touriste Français;All-FIMU;756
2016-04-27;Mercredi;Duree2h;Touriste Etranger;All-FIMU;167
2016-04-27;Mercredi;Duree3h;Résident ;All-FIMU;2585
2016-04-27;Mercredi;Duree3h;Touriste Français;All-FIMU;640
2016-04-27;Mercredi;Duree3h;Touriste Etranger;All-FIMU;162
2016-04-27;Mercredi;Duree4h;Résident ;All-FIMU;1747
2016-04-27;Mercredi;Duree4h;Touriste Français;All-FIMU;561
2016-04-27;Mercredi;Duree4h;Touriste Etranger;All-FIMU;280
2016-04-27;Mercredi;Duree5h;Résident ;All-FIMU;898
2016-04-27;Mercredi;Duree5h;Touriste Français;All-FIMU;273
2016-04-27;Mercredi;Duree5h;Touriste Etranger;All-FIMU;63
2016-04-27;Mercredi;Duree6h;Résident ;All-FIMU;1233
2016-04-27;Mercredi;Duree6h;Touriste Français;All-FIMU;428
2016-04-27;Mercredi;Duree6h;Touriste Etranger;All-FIMU;109
