Date;JourDeLaSemaine;Age;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-26;Mardi;18-24 ans;Visiteur;Journee;Touriste Français;All-FIMU;118
2016-04-26;Mardi;18-24 ans;Excursionniste;Journee;Résident ;All-FIMU;#
2016-04-26;Mardi;18-24 ans;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-26;Mardi;25-34 ans;Visiteur;Journee;Résident ;All-FIMU;1094
2016-04-26;Mardi;25-34 ans;Visiteur;Journee;Touriste Français;All-FIMU;432
2016-04-26;Mardi;25-34 ans;Excursionniste;Journee;Résident ;All-FIMU;108
2016-04-26;Mardi;25-34 ans;Excursionniste;Journee;Touriste Français;All-FIMU;106
2016-04-26;Mardi;35-44 ans;Visiteur;Journee;Résident ;All-FIMU;1981
2016-04-26;Mardi;35-44 ans;Visiteur;Journee;Touriste Français;All-FIMU;488
2016-04-26;Mardi;35-44 ans;Excursionniste;Journee;Résident ;All-FIMU;345
2016-04-26;Mardi;35-44 ans;Excursionniste;Journee;Touriste Français;All-FIMU;86
2016-04-26;Mardi;45-54 ans;Visiteur;Journee;Résident ;All-FIMU;2967
2016-04-26;Mardi;45-54 ans;Visiteur;Journee;Touriste Français;All-FIMU;879
2016-04-26;Mardi;45-54 ans;Excursionniste;Journee;Résident ;All-FIMU;414
2016-04-26;Mardi;45-54 ans;Excursionniste;Journee;Touriste Français;All-FIMU;207
2016-04-26;Mardi;55-64 ans;Visiteur;Journee;Résident ;All-FIMU;2553
2016-04-26;Mardi;55-64 ans;Visiteur;Journee;Touriste Français;All-FIMU;690
2016-04-26;Mardi;55-64 ans;Excursionniste;Journee;Résident ;All-FIMU;364
2016-04-26;Mardi;55-64 ans;Excursionniste;Journee;Touriste Français;All-FIMU;113
2016-04-26;Mardi;65 ans et +;Visiteur;Journee;Résident ;All-FIMU;2829
2016-04-26;Mardi;65 ans et +;Visiteur;Journee;Touriste Français;All-FIMU;376
2016-04-26;Mardi;65 ans et +;Excursionniste;Journee;Résident ;All-FIMU;591
2016-04-26;Mardi;65 ans et +;Excursionniste;Journee;Touriste Français;All-FIMU;113
2016-04-26;Mardi;NR;Visiteur;Journee;Résident ;All-FIMU;1675
2016-04-26;Mardi;NR;Visiteur;Journee;Touriste Français;All-FIMU;362
2016-04-26;Mardi;NR;Excursionniste;Journee;Résident ;All-FIMU;246
2016-04-26;Mardi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;73
2016-04-27;Mercredi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;13094
2016-04-27;Mercredi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3401
2016-04-27;Mercredi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;2207
2016-04-27;Mercredi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;607
2016-04-27;Mercredi;18-24 ans;Visiteur;Journee;Résident ;All-FIMU;207
2016-04-27;Mercredi;18-24 ans;Visiteur;Journee;Touriste Français;All-FIMU;118
2016-04-27;Mercredi;18-24 ans;Excursionniste;Journee;Résident ;All-FIMU;#
2016-04-27;Mercredi;18-24 ans;Excursionniste;Journee;Touriste Français;All-FIMU;#
2016-04-27;Mercredi;25-34 ans;Visiteur;Journee;Résident ;All-FIMU;1036
2016-04-27;Mercredi;25-34 ans;Visiteur;Journee;Touriste Français;All-FIMU;390
2016-04-27;Mercredi;25-34 ans;Excursionniste;Journee;Résident ;All-FIMU;197
2016-04-27;Mercredi;25-34 ans;Excursionniste;Journee;Touriste Français;All-FIMU;72
2016-04-27;Mercredi;35-44 ans;Visiteur;Journee;Résident ;All-FIMU;2072
2016-04-27;Mercredi;35-44 ans;Visiteur;Journee;Touriste Français;All-FIMU;509
2016-04-27;Mercredi;35-44 ans;Excursionniste;Journee;Résident ;All-FIMU;355
2016-04-27;Mercredi;35-44 ans;Excursionniste;Journee;Touriste Français;All-FIMU;91
2016-04-27;Mercredi;45-54 ans;Visiteur;Journee;Résident ;All-FIMU;2773
2016-04-27;Mercredi;45-54 ans;Visiteur;Journee;Touriste Français;All-FIMU;809
2016-04-27;Mercredi;45-54 ans;Excursionniste;Journee;Résident ;All-FIMU;473
2016-04-27;Mercredi;45-54 ans;Excursionniste;Journee;Touriste Français;All-FIMU;170
2016-04-27;Mercredi;55-64 ans;Visiteur;Journee;Résident ;All-FIMU;2526
2016-04-27;Mercredi;55-64 ans;Visiteur;Journee;Touriste Français;All-FIMU;732
2016-04-27;Mercredi;55-64 ans;Excursionniste;Journee;Résident ;All-FIMU;404
2016-04-27;Mercredi;55-64 ans;Excursionniste;Journee;Touriste Français;All-FIMU;91
2016-04-27;Mercredi;65 ans et +;Visiteur;Journee;Résident ;All-FIMU;2753
2016-04-27;Mercredi;65 ans et +;Visiteur;Journee;Touriste Français;All-FIMU;432
2016-04-27;Mercredi;65 ans et +;Excursionniste;Journee;Résident ;All-FIMU;503
2016-04-27;Mercredi;65 ans et +;Excursionniste;Journee;Touriste Français;All-FIMU;98
2016-04-27;Mercredi;NR;Visiteur;Journee;Résident ;All-FIMU;1727
2016-04-27;Mercredi;NR;Visiteur;Journee;Touriste Français;All-FIMU;411
2016-04-27;Mercredi;NR;Excursionniste;Journee;Résident ;All-FIMU;256
2016-04-27;Mercredi;NR;Excursionniste;Journee;Touriste Français;All-FIMU;72
2016-04-28;Jeudi;CUMUL;Visiteur;Journee;Résident ;All-FIMU;14135
2016-04-28;Jeudi;CUMUL;Visiteur;Journee;Touriste Français;All-FIMU;3929
2016-04-28;Jeudi;CUMUL;Excursionniste;Journee;Résident ;All-FIMU;2289
2016-04-28;Jeudi;CUMUL;Excursionniste;Journee;Touriste Français;All-FIMU;729
2016-04-28;Jeudi;18-24 ans;Visiteur;Journee;Résident ;All-FIMU;197
2016-04-28;Jeudi;18-24 ans;Visiteur;Journee;Touriste Français;All-FIMU;140
2016-04-28;Jeudi;18-24 ans;Excursionniste;Journee;Touriste Français;All-FIMU;#
