Date;JourDeLaSemaine;Genre;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;NR;Visiteur;6J;Touriste Français;All-FIMU;145
2016-04-22;Vendredi;NR;Visiteur;7J;Résident ;All-FIMU;559
2016-04-22;Vendredi;NR;Visiteur;7J;Touriste Français;All-FIMU;145
2016-04-22;Vendredi;NR;Visiteur;8J;Résident ;All-FIMU;559
2016-04-22;Vendredi;NR;Visiteur;8J;Touriste Français;All-FIMU;145
2016-04-22;Vendredi;NR;Visiteur;9J;Résident ;All-FIMU;559
2016-04-22;Vendredi;NR;Visiteur;9J;Touriste Français;All-FIMU;145
2016-04-22;Vendredi;NR;Visiteur;10J;Résident ;All-FIMU;559
2016-04-22;Vendredi;NR;Visiteur;10J;Touriste Français;All-FIMU;145
2016-04-22;Vendredi;NR;Visiteur;11J;Résident ;All-FIMU;559
2016-04-22;Vendredi;NR;Visiteur;11J;Touriste Français;All-FIMU;145
2016-04-22;Vendredi;NR;Visiteur;12J;Résident ;All-FIMU;559
2016-04-22;Vendredi;NR;Visiteur;12J;Touriste Français;All-FIMU;145
2016-04-22;Vendredi;NR;Visiteur;13J;Résident ;All-FIMU;559
2016-04-22;Vendredi;NR;Visiteur;13J;Touriste Français;All-FIMU;145
2016-04-22;Vendredi;NR;Visiteur;14J;Résident ;All-FIMU;559
2016-04-22;Vendredi;NR;Visiteur;14J;Touriste Français;All-FIMU;145
2016-04-23;Samedi;CUMUL;Visiteur;1J;Résident ;All-FIMU;9892
2016-04-23;Samedi;CUMUL;Visiteur;1J;Touriste Français;All-FIMU;2821
2016-04-23;Samedi;CUMUL;Visiteur;2J;Résident ;All-FIMU;16464
2016-04-23;Samedi;CUMUL;Visiteur;2J;Touriste Français;All-FIMU;5088
2016-04-23;Samedi;CUMUL;Visiteur;3J;Résident ;All-FIMU;20384
2016-04-23;Samedi;CUMUL;Visiteur;3J;Touriste Français;All-FIMU;6886
2016-04-23;Samedi;CUMUL;Visiteur;4J;Résident ;All-FIMU;20384
2016-04-23;Samedi;CUMUL;Visiteur;4J;Touriste Français;All-FIMU;6886
2016-04-23;Samedi;CUMUL;Visiteur;5J;Résident ;All-FIMU;20384
2016-04-23;Samedi;CUMUL;Visiteur;5J;Touriste Français;All-FIMU;6886
2016-04-23;Samedi;CUMUL;Visiteur;6J;Résident ;All-FIMU;20384
2016-04-23;Samedi;CUMUL;Visiteur;6J;Touriste Français;All-FIMU;6886
2016-04-23;Samedi;CUMUL;Visiteur;7J;Résident ;All-FIMU;20384
2016-04-23;Samedi;CUMUL;Visiteur;7J;Touriste Français;All-FIMU;6886
2016-04-23;Samedi;CUMUL;Visiteur;8J;Résident ;All-FIMU;20384
2016-04-23;Samedi;CUMUL;Visiteur;8J;Touriste Français;All-FIMU;6886
2016-04-23;Samedi;CUMUL;Visiteur;9J;Résident ;All-FIMU;20384
2016-04-23;Samedi;CUMUL;Visiteur;9J;Touriste Français;All-FIMU;6886
2016-04-23;Samedi;CUMUL;Visiteur;10J;Résident ;All-FIMU;20384
2016-04-23;Samedi;CUMUL;Visiteur;10J;Touriste Français;All-FIMU;6886
2016-04-23;Samedi;CUMUL;Visiteur;11J;Résident ;All-FIMU;20384
2016-04-23;Samedi;CUMUL;Visiteur;11J;Touriste Français;All-FIMU;6886
2016-04-23;Samedi;CUMUL;Visiteur;12J;Résident ;All-FIMU;20384
2016-04-23;Samedi;CUMUL;Visiteur;12J;Touriste Français;All-FIMU;6886
2016-04-23;Samedi;CUMUL;Visiteur;13J;Résident ;All-FIMU;20384
2016-04-23;Samedi;CUMUL;Visiteur;13J;Touriste Français;All-FIMU;6886
2016-04-23;Samedi;CUMUL;Visiteur;14J;Résident ;All-FIMU;20384
2016-04-23;Samedi;CUMUL;Visiteur;14J;Touriste Français;All-FIMU;6886
