Date;JourDeLaSemaine;Geolife;CSP;TypeDeVisite;VisiteurUniqueSur;CategorieVisiteurs;ZoneAnalyse;Volume
2016-04-22;Vendredi;pavillonnaire familial aise;CSP+;Visiteur;14J;Touriste Français;All-FIMU;669
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;1J;Résident ;All-FIMU;1570
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;1J;Touriste Français;All-FIMU;554
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;2J;Résident ;All-FIMU;2443
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;2J;Touriste Français;All-FIMU;835
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;3J;Résident ;All-FIMU;2443
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;3J;Touriste Français;All-FIMU;835
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;4J;Résident ;All-FIMU;2443
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;4J;Touriste Français;All-FIMU;835
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;5J;Résident ;All-FIMU;2443
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;5J;Touriste Français;All-FIMU;835
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;6J;Résident ;All-FIMU;2443
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;6J;Touriste Français;All-FIMU;835
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;7J;Résident ;All-FIMU;2443
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;7J;Touriste Français;All-FIMU;835
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;8J;Résident ;All-FIMU;2443
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;8J;Touriste Français;All-FIMU;835
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;9J;Résident ;All-FIMU;2443
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;9J;Touriste Français;All-FIMU;835
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;10J;Résident ;All-FIMU;2443
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;10J;Touriste Français;All-FIMU;835
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;11J;Résident ;All-FIMU;2443
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;11J;Touriste Français;All-FIMU;835
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;12J;Résident ;All-FIMU;2443
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;12J;Touriste Français;All-FIMU;835
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;13J;Résident ;All-FIMU;2443
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;13J;Touriste Français;All-FIMU;835
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;14J;Résident ;All-FIMU;2443
2016-04-22;Vendredi;periurbain en croissance;CSP en croissance;Visiteur;14J;Touriste Français;All-FIMU;835
2016-04-22;Vendredi;populaire;Populaire;Visiteur;1J;Résident ;All-FIMU;1256
2016-04-22;Vendredi;populaire;Populaire;Visiteur;1J;Touriste Français;All-FIMU;201
2016-04-22;Vendredi;populaire;Populaire;Visiteur;2J;Résident ;All-FIMU;1982
2016-04-22;Vendredi;populaire;Populaire;Visiteur;2J;Touriste Français;All-FIMU;331
2016-04-22;Vendredi;populaire;Populaire;Visiteur;3J;Résident ;All-FIMU;1982
2016-04-22;Vendredi;populaire;Populaire;Visiteur;3J;Touriste Français;All-FIMU;331
2016-04-22;Vendredi;populaire;Populaire;Visiteur;4J;Résident ;All-FIMU;1982
2016-04-22;Vendredi;populaire;Populaire;Visiteur;4J;Touriste Français;All-FIMU;331
2016-04-22;Vendredi;populaire;Populaire;Visiteur;5J;Résident ;All-FIMU;1982
